symbol,timestamp,signal_type,direction,probability,expected_return,confidence_interval,score,model_id,model_version,feature_contributions,regime,data_quality,staleness_seconds,metadata
AMD,2024-09-26T00:00:00,entry,long,0.621144918031162,0.03445094577522345,"(np.float64(-0.02670124460121883), np.float64(0.09560313615166574))",0.7780378310089382,trend_following,1.0.0,"{'price': 167.49000549316406, 'fast_sma': 156.077001953125, 'slow_sma': 150.2326670328776, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.03890189155044691, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.03890189155044691}"
AMD,2024-09-27T00:00:00,hold,neutral,0.5,0.0,"(np.float64(-0.06199446089914302), np.float64(0.06199446089914302))",0.0,trend_following,1.0.0,"{'price': 164.35000610351562, 'fast_sma': 157.2810028076172, 'slow_sma': 150.79900054931642, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.04298438474186668, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.04298438474186668}"
AMD,2024-09-30T00:00:00,hold,neutral,0.5,0.0,"(np.float64(-0.06170625013449309), np.float64(0.06170625013449309))",0.0,trend_following,1.0.0,"{'price': 164.0800018310547, 'fast_sma': 158.4810028076172, 'slow_sma': 151.31633402506512, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.04734894503434945, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.04734894503434945}"
AMD,2024-10-01T00:00:00,hold,neutral,0.5,0.0,"(np.float64(-0.050193045645525854), np.float64(0.050193045645525854))",0.0,trend_following,1.0.0,"{'price': 159.75, 'fast_sma': 159.3740020751953, 'slow_sma': 151.4653340657552, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.052214376696959185, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.052214376696959185}"
AMD,2024-10-02T00:00:00,hold,neutral,0.5,0.0,"(np.float64(-0.049333410388929), np.float64(0.049333410388929))",0.0,trend_following,1.0.0,"{'price': 159.77999877929688, 'fast_sma': 160.52300262451172, 'slow_sma': 151.5780008951823, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.05901253266636613, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.05901253266636613}"
AMD,2024-10-03T00:00:00,hold,neutral,0.5,0.0,"(np.float64(-0.04898049689733191), np.float64(0.04898049689733191))",0.0,trend_following,1.0.0,"{'price': 162.85000610351562, 'fast_sma': 161.13400268554688, 'slow_sma': 151.74600118001302, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.06186654957976168, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.06186654957976168}"
AMD,2024-10-04T00:00:00,hold,neutral,0.5,0.0,"(np.float64(-0.04757306088121179), np.float64(0.04757306088121179))",0.0,trend_following,1.0.0,"{'price': 170.89999389648438, 'fast_sma': 162.6290023803711, 'slow_sma': 152.38600107828776, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.06721746899061311, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.06721746899061311}"
AMD,2024-10-07T00:00:00,hold,neutral,0.5,0.0,"(np.float64(-0.04724189374207141), np.float64(0.04724189374207141))",0.0,trend_following,1.0.0,"{'price': 170.97000122070312, 'fast_sma': 164.0510025024414, 'slow_sma': 152.91900126139322, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.07279671688425181, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.07279671688425181}"
AMD,2024-10-08T00:00:00,hold,neutral,0.5,0.0,"(np.float64(-0.045989222588100585), np.float64(0.045989222588100585))",0.0,trend_following,1.0.0,"{'price': 172.8000030517578, 'fast_sma': 165.4990020751953, 'slow_sma': 153.67933451334636, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.07691123597898232, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.07691123597898232}"
AMD,2024-10-09T00:00:00,hold,neutral,0.5,0.0,"(np.float64(-0.042863365914375215), np.float64(0.042863365914375215))",0.0,trend_following,1.0.0,"{'price': 171.02000427246094, 'fast_sma': 166.3990020751953, 'slow_sma': 154.36333465576172, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.07796972931605656, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.07796972931605656}"
