symbol,timestamp,signal_type,direction,probability,expected_return,confidence_interval,score,model_id,model_version,feature_contributions,regime,data_quality,staleness_seconds,metadata
COIN,2024-09-26T00:00:00,hold,neutral,0.5,0.0,"(np.float64(-0.07559535460857215), np.float64(0.07559535460857215))",0.0,trend_following,1.0.0,"{'price': 179.92999267578125, 'fast_sma': 167.68799896240233, 'slow_sma': 177.8056660970052, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.05690295116401401, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 0.0}",downtrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.05690295116401401}"
COIN,2024-09-27T00:00:00,hold,neutral,0.5,0.0,"(np.float64(-0.08081886038462262), np.float64(0.08081886038462262))",0.0,trend_following,1.0.0,"{'price': 191.22999572753906, 'fast_sma': 170.50599822998046, 'slow_sma': 177.6093327840169, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.03999415144853064, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 0.0}",downtrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.03999415144853064}"
COIN,2024-09-30T00:00:00,hold,neutral,0.5,0.0,"(np.float64(-0.0858998962076554), np.float64(0.0858998962076554))",0.0,trend_following,1.0.0,"{'price': 178.1699981689453, 'fast_sma': 172.172998046875, 'slow_sma': 176.7046661376953, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.025645435346280342, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 0.0}",downtrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.025645435346280342}"
COIN,2024-10-01T00:00:00,entry,short,0.5638893396648064,-0.023440257627847377,"(np.float64(-0.10864646794833528), np.float64(0.06176595269264053))",-0.33761030511389517,trend_following,1.0.0,"{'price': 165.00999450683594, 'fast_sma': 172.4289978027344, 'slow_sma': 175.38966573079426, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.01688051525569476, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.01688051525569476}"
COIN,2024-10-02T00:00:00,hold,neutral,0.5,0.0,"(np.float64(-0.08366350527958728), np.float64(0.08366350527958728))",0.0,trend_following,1.0.0,"{'price': 164.47000122070312, 'fast_sma': 172.61199798583985, 'slow_sma': 174.2969991048177, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.009667413252275991, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.009667413252275991}"
COIN,2024-10-03T00:00:00,hold,neutral,0.5,0.0,"(np.float64(-0.08311217183715633), np.float64(0.08311217183715633))",0.0,trend_following,1.0.0,"{'price': 163.10000610351562, 'fast_sma': 172.097998046875, 'slow_sma': 172.8593327840169, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.004404360035874808, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.004404360035874808}"
COIN,2024-10-04T00:00:00,exit,neutral,0.5,0.0,"(np.float64(-0.07659699230121766), np.float64(0.07659699230121766))",0.0,trend_following,1.0.0,"{'price': 170.91000366210938, 'fast_sma': 172.17999877929688, 'slow_sma': 171.94199981689454, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 1.0, 'bearish_crossover': 0.0, 'trend_strength': 0.001384181658092816, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.001384181658092816}"
COIN,2024-10-07T00:00:00,hold,neutral,0.5,0.0,"(np.float64(-0.07414068252392303), np.float64(0.07414068252392303))",0.0,trend_following,1.0.0,"{'price': 168.9199981689453, 'fast_sma': 172.04999847412108, 'slow_sma': 170.5259999593099, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.008937044879812063, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.008937044879812063}"
COIN,2024-10-08T00:00:00,hold,neutral,0.5,0.0,"(np.float64(-0.07387919276556681), np.float64(0.07387919276556681))",0.0,trend_following,1.0.0,"{'price': 167.69000244140625, 'fast_sma': 171.6509994506836, 'slow_sma': 169.31566670735677, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.013792774104969225, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.013792774104969225}"
COIN,2024-10-09T00:00:00,hold,neutral,0.5,0.0,"(np.float64(-0.07376742544393834), np.float64(0.07376742544393834))",0.0,trend_following,1.0.0,"{'price': 166.97000122070312, 'fast_sma': 171.63999938964844, 'slow_sma': 168.27133331298828, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.020019251112691733, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.020019251112691733}"
