symbol,timestamp,signal_type,direction,probability,expected_return,confidence_interval,score,model_id,model_version,feature_contributions,regime,data_quality,staleness_seconds,metadata
CRWD,2024-09-26T00:00:00,entry,long,0.626060898073597,0.03539632655261481,"(np.float64(-0.0226344716942394), np.float64(0.09342712479946902))",0.8158530621045923,trend_following,1.0.0,"{'price': 281.4800109863281, 'fast_sma': 278.96400451660156, 'slow_sma': 268.0303359985352, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.040792653105229615, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.040792653105229615}"
CRWD,2024-09-27T00:00:00,hold,neutral,0.5,0.0,"(np.float64(-0.05716324910605606), np.float64(0.05716324910605606))",0.0,trend_following,1.0.0,"{'price': 285.8599853515625, 'fast_sma': 281.6370025634766, 'slow_sma': 268.8760025024414, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.04746053921609951, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.04746053921609951}"
CRWD,2024-09-30T00:00:00,hold,neutral,0.5,0.0,"(np.float64(-0.057315152035225365), np.float64(0.057315152035225365))",0.0,trend_following,1.0.0,"{'price': 280.4700012207031, 'fast_sma': 282.9030029296875, 'slow_sma': 269.47366892496746, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.049835421984992946, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.049835421984992946}"
CRWD,2024-10-01T00:00:00,hold,neutral,0.5,0.0,"(np.float64(-0.05510498742883137), np.float64(0.05510498742883137))",0.0,trend_following,1.0.0,"{'price': 275.1499938964844, 'fast_sma': 283.54600219726564, 'slow_sma': 269.752668762207, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.05113326032454477, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.05113326032454477}"
CRWD,2024-10-02T00:00:00,hold,neutral,0.5,0.0,"(np.float64(-0.05377977136914147), np.float64(0.05377977136914147))",0.0,trend_following,1.0.0,"{'price': 280.239990234375, 'fast_sma': 284.8580017089844, 'slow_sma': 270.2096684773763, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.05421098850441226, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.05421098850441226}"
CRWD,2024-10-03T00:00:00,hold,neutral,0.5,0.0,"(np.float64(-0.05339624956160328), np.float64(0.05339624956160328))",0.0,trend_following,1.0.0,"{'price': 283.75, 'fast_sma': 285.4950012207031, 'slow_sma': 270.56100209554035, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.055196421544481386, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.055196421544481386}"
CRWD,2024-10-04T00:00:00,hold,neutral,0.5,0.0,"(np.float64(-0.05009437215789845), np.float64(0.05009437215789845))",0.0,trend_following,1.0.0,"{'price': 292.239990234375, 'fast_sma': 284.73399963378904, 'slow_sma': 271.3810012817383, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.04920388048162638, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.04920388048162638}"
CRWD,2024-10-07T00:00:00,hold,neutral,0.5,0.0,"(np.float64(-0.05142188515191435), np.float64(0.05142188515191435))",0.0,trend_following,1.0.0,"{'price': 286.9700012207031, 'fast_sma': 284.11699829101565, 'slow_sma': 271.895334370931, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0449498846619095, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.0449498846619095}"
CRWD,2024-10-08T00:00:00,hold,neutral,0.5,0.0,"(np.float64(-0.051725269080058964), np.float64(0.051725269080058964))",0.0,trend_following,1.0.0,"{'price': 293.010009765625, 'fast_sma': 284.5639984130859, 'slow_sma': 272.8000015258789, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.04312315550368889, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.04312315550368889}"
CRWD,2024-10-09T00:00:00,hold,neutral,0.5,0.0,"(np.float64(-0.051467937535872345), np.float64(0.051467937535872345))",0.0,trend_following,1.0.0,"{'price': 298.3399963378906, 'fast_sma': 285.75099792480466, 'slow_sma': 273.75033518473305, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.043837983730589024, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.043837983730589024}"
CRWD,2024-10-10T00:00:00,hold,neutral,0.5,0.0,"(np.float64(-0.055598347053413745), np.float64(0.055598347053413745))",0.0,trend_following,1.0.0,"{'price': 314.9200134277344, 'fast_sma': 289.0949981689453, 'slow_sma': 275.44100189208984, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.049571400710358794, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.049571400710358794}"
CRWD,2024-10-11T00:00:00,hold,neutral,0.5,0.0,"(np.float64(-0.05565129978192365), np.float64(0.05565129978192365))",0.0,trend_following,1.0.0,"{'price': 320.2099914550781, 'fast_sma': 292.5299987792969, 'slow_sma': 277.05900115966796, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0558400829963039, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.0558400829963039}"
CRWD,2024-10-14T00:00:00,hold,neutral,0.5,0.0,"(np.float64(-0.05749860076067718), np.float64(0.05749860076067718))",0.0,trend_following,1.0.0,"{'price': 310.5199890136719, 'fast_sma': 295.5349975585938, 'slow_sma': 278.16700083414713, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.062437300874527694, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.062437300874527694}"
CRWD,2024-10-15T00:00:00,hold,neutral,0.5,0.0,"(np.float64(-0.059494287416426275), np.float64(0.059494287416426275))",0.0,trend_following,1.0.0,"{'price': 302.30999755859375, 'fast_sma': 298.25099792480466, 'slow_sma': 279.35733388264975, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0676326043764851, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.0676326043764851}"
CRWD,2024-10-16T00:00:00,hold,neutral,0.5,0.0,"(np.float64(-0.05927463308690538), np.float64(0.05927463308690538))",0.0,trend_following,1.0.0,"{'price': 306.239990234375, 'fast_sma': 300.8509979248047, 'slow_sma': 280.9213333129883, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.07094393429213788, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.07094393429213788}"
