symbol,timestamp,signal_type,direction,probability,expected_return,confidence_interval,score,model_id,model_version,feature_contributions,regime,data_quality,staleness_seconds,metadata
DKNG,2024-09-26T00:00:00,entry,long,0.65,0.04,"(np.float64(-0.007193332229595888), np.float64(0.08719333222959588))",1.0,trend_following,1.0.0,"{'price': 40.939998626708984, 'fast_sma': 39.241999816894534, 'slow_sma': 36.63766644795736, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.07108349470446075, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.07108349470446075}"
DKNG,2024-09-27T00:00:00,hold,neutral,0.5,0.0,"(np.float64(-0.047272262492438294), np.float64(0.047272262492438294))",0.0,trend_following,1.0.0,"{'price': 40.36000061035156, 'fast_sma': 39.49799995422363, 'slow_sma': 36.84499982198079, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.07200434645300569, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.07200434645300569}"
DKNG,2024-09-30T00:00:00,hold,neutral,0.5,0.0,"(np.float64(-0.04995208766603943), np.float64(0.04995208766603943))",0.0,trend_following,1.0.0,"{'price': 39.20000076293945, 'fast_sma': 39.5939998626709, 'slow_sma': 37.01366653442383, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.06971298900764894, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.06971298900764894}"
DKNG,2024-10-01T00:00:00,hold,neutral,0.5,0.0,"(np.float64(-0.04989916973724234), np.float64(0.04989916973724234))",0.0,trend_following,1.0.0,"{'price': 38.25, 'fast_sma': 39.523999786376955, 'slow_sma': 37.14166653951009, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.06414179730822298, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.06414179730822298}"
DKNG,2024-10-02T00:00:00,hold,neutral,0.5,0.0,"(np.float64(-0.05048093919914283), np.float64(0.05048093919914283))",0.0,trend_following,1.0.0,"{'price': 37.66999816894531, 'fast_sma': 39.48399963378906, 'slow_sma': 37.23733317057292, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.06033371006792691, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.06033371006792691}"
DKNG,2024-10-03T00:00:00,hold,neutral,0.5,0.0,"(np.float64(-0.04740184310116098), np.float64(0.04740184310116098))",0.0,trend_following,1.0.0,"{'price': 38.0, 'fast_sma': 39.3569995880127, 'slow_sma': 37.30666656494141, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.05495889104705137, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.05495889104705137}"
DKNG,2024-10-04T00:00:00,hold,neutral,0.5,0.0,"(np.float64(-0.048197951463771614), np.float64(0.048197951463771614))",0.0,trend_following,1.0.0,"{'price': 39.279998779296875, 'fast_sma': 39.3569995880127, 'slow_sma': 37.440999857584636, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.051173839847119554, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.051173839847119554}"
DKNG,2024-10-07T00:00:00,hold,neutral,0.5,0.0,"(np.float64(-0.05068941182729208), np.float64(0.05068941182729208))",0.0,trend_following,1.0.0,"{'price': 37.79999923706055, 'fast_sma': 39.17399940490723, 'slow_sma': 37.48866653442383, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.04495579667886691, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.04495579667886691}"
DKNG,2024-10-08T00:00:00,hold,neutral,0.5,0.0,"(np.float64(-0.05060724360548911), np.float64(0.05060724360548911))",0.0,trend_following,1.0.0,"{'price': 37.5, 'fast_sma': 39.009999465942386, 'slow_sma': 37.5689998626709, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.038356081038592775, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.038356081038592775}"
DKNG,2024-10-09T00:00:00,hold,neutral,0.5,0.0,"(np.float64(-0.04621310487632646), np.float64(0.04621310487632646))",0.0,trend_following,1.0.0,"{'price': 38.279998779296875, 'fast_sma': 38.72799949645996, 'slow_sma': 37.66733309427897, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.028158786806759144, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.028158786806759144}"
