symbol,timestamp,signal_type,direction,probability,expected_return,confidence_interval,score,model_id,model_version,feature_contributions,regime,data_quality,staleness_seconds,metadata
COIN,2025-11-18T11:25:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.0028474911220934033), np.float64(0.0028474911220934033))",0.0,momentum_mom_fast,1.0.0,"{'price': 261.5, 'recent_high': 262.61, 'recent_low': 261.37, 'breaks_high': 0.0, 'breaks_low': 1.0, 'volume_ratio': 0.8122707183916347, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 0.0}",bullish,1.0,0.0,"{'breakout_period': 5, 'volume_mult': 1.0, 'current_price': 261.5}"
COIN,2025-11-18T11:30:00+00:00,entry,short,0.5825317840296347,-0.026506356805926935,"(np.float64(-0.02951672316095259), np.float64(-0.02349599045090128))",-0.21687856019756452,momentum_mom_fast,1.0.0,"{'price': 260.73, 'recent_high': 262.48, 'recent_low': 261.2, 'breaks_high': 0.0, 'breaks_low': 1.0, 'volume_ratio': 1.192562633411976, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 1.0}",bullish,1.0,0.0,"{'breakout_period': 5, 'volume_mult': 1.0, 'current_price': 260.73}"
COIN,2025-11-18T11:35:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.0029729659038678093), np.float64(0.0029729659038678093))",0.0,momentum_mom_fast,1.0.0,"{'price': 260.61, 'recent_high': 262.06, 'recent_low': 260.57, 'breaks_high': 0.0, 'breaks_low': 1.0, 'volume_ratio': 1.3183853693671124, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 1.0}",bullish,1.0,0.0,"{'breakout_period': 5, 'volume_mult': 1.0, 'current_price': 260.61}"
COIN,2025-11-18T11:40:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.0031137497947954632), np.float64(0.0031137497947954632))",0.0,momentum_mom_fast,1.0.0,"{'price': 261.1, 'recent_high': 261.85, 'recent_low': 260.55, 'breaks_high': 0.0, 'breaks_low': 0.0, 'volume_ratio': 0.34241348418992, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 1.0}",bullish,1.0,0.0,"{'breakout_period': 5, 'volume_mult': 1.0, 'current_price': 261.1}"
COIN,2025-11-18T11:45:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.003113813242456089), np.float64(0.003113813242456089))",0.0,momentum_mom_fast,1.0.0,"{'price': 261.01, 'recent_high': 261.77, 'recent_low': 260.55, 'breaks_high': 0.0, 'breaks_low': 0.0, 'volume_ratio': 0.5684392635004325, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 1.0}",bullish,1.0,0.0,"{'breakout_period': 5, 'volume_mult': 1.0, 'current_price': 261.01}"
COIN,2025-11-18T11:50:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.0031174596748752646), np.float64(0.0031174596748752646))",0.0,momentum_mom_fast,1.0.0,"{'price': 260.81, 'recent_high': 261.63, 'recent_low': 260.55, 'breaks_high': 0.0, 'breaks_low': 0.0, 'volume_ratio': 0.20712547023677805, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 1.0}",bullish,1.0,0.0,"{'breakout_period': 5, 'volume_mult': 1.0, 'current_price': 260.81}"
COIN,2025-11-18T11:55:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.0031655377180201815), np.float64(0.0031655377180201815))",0.0,momentum_mom_fast,1.0.0,"{'price': 261.2, 'recent_high': 261.1, 'recent_low': 260.55, 'breaks_high': 1.0, 'breaks_low': 0.0, 'volume_ratio': 0.44831880448318806, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 1.0}",bullish,1.0,0.0,"{'breakout_period': 5, 'volume_mult': 1.0, 'current_price': 261.2}"
COIN,2025-11-18T12:00:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.0032143406207471425), np.float64(0.0032143406207471425))",0.0,momentum_mom_fast,1.0.0,"{'price': 260.19, 'recent_high': 261.22, 'recent_low': 260.55, 'breaks_high': 0.0, 'breaks_low': 1.0, 'volume_ratio': 7.054978261539885, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 1.0}",bullish,1.0,0.0,"{'breakout_period': 5, 'volume_mult': 1.0, 'current_price': 260.19}"
COIN,2025-11-18T12:05:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.0031302067422709374), np.float64(0.0031302067422709374))",0.0,momentum_mom_fast,1.0.0,"{'price': 260.27, 'recent_high': 261.22, 'recent_low': 260.0, 'breaks_high': 0.0, 'breaks_low': 0.0, 'volume_ratio': 2.1303755815272893, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 1.0}",bullish,1.0,0.0,"{'breakout_period': 5, 'volume_mult': 1.0, 'current_price': 260.27}"
COIN,2025-11-18T12:10:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.0036608396149805885), np.float64(0.0036608396149805885))",0.0,momentum_mom_fast,1.0.0,"{'price': 259.0, 'recent_high': 261.22, 'recent_low': 260.0, 'breaks_high': 0.0, 'breaks_low': 1.0, 'volume_ratio': 3.7157802111849825, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 1.0}",bullish,1.0,0.0,"{'breakout_period': 5, 'volume_mult': 1.0, 'current_price': 259.0}"
COIN,2025-11-18T12:15:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.004675104422854219), np.float64(0.004675104422854219))",0.0,momentum_mom_fast,1.0.0,"{'price': 260.5, 'recent_high': 261.22, 'recent_low': 259.0, 'breaks_high': 0.0, 'breaks_low': 0.0, 'volume_ratio': 1.3388614553246996, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 1.0}",bullish,1.0,0.0,"{'breakout_period': 5, 'volume_mult': 1.0, 'current_price': 260.5}"
COIN,2025-11-18T12:20:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.004768284509289243), np.float64(0.004768284509289243))",0.0,momentum_mom_fast,1.0.0,"{'price': 259.85, 'recent_high': 261.22, 'recent_low': 259.0, 'breaks_high': 0.0, 'breaks_low': 0.0, 'volume_ratio': 3.4421992481203008, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 1.0}",bullish,1.0,0.0,"{'breakout_period': 5, 'volume_mult': 1.0, 'current_price': 259.85}"
COIN,2025-11-18T12:25:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.004762199030056216), np.float64(0.004762199030056216))",0.0,momentum_mom_fast,1.0.0,"{'price': 259.9, 'recent_high': 261.0, 'recent_low': 259.0, 'breaks_high': 0.0, 'breaks_low': 0.0, 'volume_ratio': 0.5034163197989476, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 1.0}",bullish,1.0,0.0,"{'breakout_period': 5, 'volume_mult': 1.0, 'current_price': 259.9}"
COIN,2025-11-18T12:30:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.00476046418879333), np.float64(0.00476046418879333))",0.0,momentum_mom_fast,1.0.0,"{'price': 259.92, 'recent_high': 260.71, 'recent_low': 259.0, 'breaks_high': 0.0, 'breaks_low': 0.0, 'volume_ratio': 2.3167294952970026, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 1.0}",bullish,1.0,0.0,"{'breakout_period': 5, 'volume_mult': 1.0, 'current_price': 259.92}"
COIN,2025-11-18T12:35:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.004503741949450962), np.float64(0.004503741949450962))",0.0,momentum_mom_fast,1.0.0,"{'price': 259.89, 'recent_high': 260.71, 'recent_low': 259.0, 'breaks_high': 0.0, 'breaks_low': 0.0, 'volume_ratio': 0.6368330464716007, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 1.0}",bullish,1.0,0.0,"{'breakout_period': 5, 'volume_mult': 1.0, 'current_price': 259.89}"
COIN,2025-11-18T12:40:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.004762564622553746), np.float64(0.004762564622553746))",0.0,momentum_mom_fast,1.0.0,"{'price': 260.65, 'recent_high': 260.71, 'recent_low': 259.35, 'breaks_high': 1.0, 'breaks_low': 0.0, 'volume_ratio': 1.391695489938832, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 1.0}",bullish,1.0,0.0,"{'breakout_period': 5, 'volume_mult': 1.0, 'current_price': 260.65}"
COIN,2025-11-18T12:45:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.004943397106390112), np.float64(0.004943397106390112))",0.0,momentum_mom_fast,1.0.0,"{'price': 259.72, 'recent_high': 261.09, 'recent_low': 259.66, 'breaks_high': 0.0, 'breaks_low': 0.0, 'volume_ratio': 1.074381507772778, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 1.0}",bullish,1.0,0.0,"{'breakout_period': 5, 'volume_mult': 1.0, 'current_price': 259.72}"
