symbol,timestamp,signal_type,direction,probability,expected_return,confidence_interval,score,model_id,model_version,feature_contributions,regime,data_quality,staleness_seconds,metadata
CRWD,2025-11-18T18:30:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.008316643046132272), np.float64(0.008316643046132272))",0.0,momentum_mom_fast,1.0.0,"{'price': 519.455, 'recent_high': 521.9433, 'recent_low': 513.58, 'breaks_high': 0.0, 'breaks_low': 0.0, 'volume_ratio': 0.49862141797248205, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 0.0}",bullish,1.0,0.0,"{'breakout_period': 5, 'volume_mult': 1.0, 'current_price': 519.455}"
CRWD,2025-11-18T18:45:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.008430397397533448), np.float64(0.008430397397533448))",0.0,momentum_mom_fast,1.0.0,"{'price': 517.4, 'recent_high': 521.9433, 'recent_low': 513.58, 'breaks_high': 0.0, 'breaks_low': 0.0, 'volume_ratio': 0.5327789785528136, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 0.0}",bullish,1.0,0.0,"{'breakout_period': 5, 'volume_mult': 1.0, 'current_price': 517.4}"
CRWD,2025-11-18T19:00:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.008423237848698696), np.float64(0.008423237848698696))",0.0,momentum_mom_fast,1.0.0,"{'price': 517.854, 'recent_high': 521.9433, 'recent_low': 516.5, 'breaks_high': 0.0, 'breaks_low': 1.0, 'volume_ratio': 0.5334826602602654, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 0.0}",bullish,1.0,0.0,"{'breakout_period': 5, 'volume_mult': 1.0, 'current_price': 517.854}"
CRWD,2025-11-18T19:15:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.00854773315958307), np.float64(0.00854773315958307))",0.0,momentum_mom_fast,1.0.0,"{'price': 515.575, 'recent_high': 521.9433, 'recent_low': 516.0056, 'breaks_high': 0.0, 'breaks_low': 1.0, 'volume_ratio': 0.8453909163151782, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 0.0}",bullish,1.0,0.0,"{'breakout_period': 5, 'volume_mult': 1.0, 'current_price': 515.575}"
CRWD,2025-11-18T19:30:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.007604098985590512), np.float64(0.007604098985590512))",0.0,momentum_mom_fast,1.0.0,"{'price': 516.725, 'recent_high': 521.2, 'recent_low': 515.0, 'breaks_high': 0.0, 'breaks_low': 0.0, 'volume_ratio': 2.493951897188527, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 0.0}",bullish,1.0,0.0,"{'breakout_period': 5, 'volume_mult': 1.0, 'current_price': 516.725}"
CRWD,2025-11-18T19:45:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.007399334694329912), np.float64(0.007399334694329912))",0.0,momentum_mom_fast,1.0.0,"{'price': 516.95, 'recent_high': 521.1579, 'recent_low': 515.0, 'breaks_high': 0.0, 'breaks_low': 0.0, 'volume_ratio': 0.6467789533493682, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 0.0}",bullish,1.0,0.0,"{'breakout_period': 5, 'volume_mult': 1.0, 'current_price': 516.95}"
CRWD,2025-11-18T20:00:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.007355140976598293), np.float64(0.007355140976598293))",0.0,momentum_mom_fast,1.0.0,"{'price': 515.72, 'recent_high': 519.59, 'recent_low': 515.0, 'breaks_high': 0.0, 'breaks_low': 0.0, 'volume_ratio': 0.6597284542609286, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 0.0}",bullish,1.0,0.0,"{'breakout_period': 5, 'volume_mult': 1.0, 'current_price': 515.72}"
CRWD,2025-11-18T20:15:00+00:00,entry,short,0.6138049122579582,-0.03276098245159164,"(np.float64(-0.0399056407950215), np.float64(-0.025616324108161784))",-0.4253660817197213,momentum_mom_fast,1.0.0,"{'price': 515.25, 'recent_high': 518.89, 'recent_low': 515.0, 'breaks_high': 0.0, 'breaks_low': 1.0, 'volume_ratio': 1.6565574061578892, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 1.0}",bullish,1.0,0.0,"{'breakout_period': 5, 'volume_mult': 1.0, 'current_price': 515.25}"
CRWD,2025-11-18T20:30:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.007188052619512017), np.float64(0.007188052619512017))",0.0,momentum_mom_fast,1.0.0,"{'price': 516.44, 'recent_high': 518.89, 'recent_low': 514.0, 'breaks_high': 0.0, 'breaks_low': 0.0, 'volume_ratio': 1.122385003273205, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 1.0}",bullish,1.0,0.0,"{'breakout_period': 5, 'volume_mult': 1.0, 'current_price': 516.44}"
CRWD,2025-11-18T20:45:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.00752454451135974), np.float64(0.00752454451135974))",0.0,momentum_mom_fast,1.0.0,"{'price': 513.68, 'recent_high': 518.89, 'recent_low': 514.0, 'breaks_high': 0.0, 'breaks_low': 1.0, 'volume_ratio': 4.0533072905392125, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 1.0}",bullish,1.0,0.0,"{'breakout_period': 5, 'volume_mult': 1.0, 'current_price': 513.68}"
