symbol,timestamp,signal_type,direction,probability,expected_return,confidence_interval,score,model_id,model_version,feature_contributions,regime,data_quality,staleness_seconds,metadata
NET,2025-11-18T18:00:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.031342028496660436), np.float64(0.031342028496660436))",0.0,momentum_mom_fast,1.0.0,"{'price': 200.245, 'recent_high': 199.66, 'recent_low': 195.46, 'breaks_high': 1.0, 'breaks_low': 0.0, 'volume_ratio': 0.35447964667735793, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 0.0}",bullish,1.0,0.0,"{'breakout_period': 5, 'volume_mult': 1.0, 'current_price': 200.245}"
NET,2025-11-18T18:15:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.031583984577603016), np.float64(0.031583984577603016))",0.0,momentum_mom_fast,1.0.0,"{'price': 198.5025, 'recent_high': 200.54, 'recent_low': 195.46, 'breaks_high': 0.0, 'breaks_low': 0.0, 'volume_ratio': 0.21643558510788044, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 0.0}",bullish,1.0,0.0,"{'breakout_period': 5, 'volume_mult': 1.0, 'current_price': 198.5025}"
NET,2025-11-18T18:30:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.03138113585581958), np.float64(0.03138113585581958))",0.0,momentum_mom_fast,1.0.0,"{'price': 198.81, 'recent_high': 200.54, 'recent_low': 195.46, 'breaks_high': 0.0, 'breaks_low': 0.0, 'volume_ratio': 0.2415569175111702, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 0.0}",bullish,1.0,0.0,"{'breakout_period': 5, 'volume_mult': 1.0, 'current_price': 198.81}"
NET,2025-11-18T18:45:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.03113917018713301), np.float64(0.03113917018713301))",0.0,momentum_mom_fast,1.0.0,"{'price': 199.0, 'recent_high': 200.54, 'recent_low': 195.46, 'breaks_high': 0.0, 'breaks_low': 0.0, 'volume_ratio': 0.1652373045444776, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 0.0}",bullish,1.0,0.0,"{'breakout_period': 5, 'volume_mult': 1.0, 'current_price': 199.0}"
NET,2025-11-18T19:00:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.031024879579845902), np.float64(0.031024879579845902))",0.0,momentum_mom_fast,1.0.0,"{'price': 199.43, 'recent_high': 200.54, 'recent_low': 197.2, 'breaks_high': 0.0, 'breaks_low': 0.0, 'volume_ratio': 0.21118570337438788, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 0.0}",bullish,1.0,0.0,"{'breakout_period': 5, 'volume_mult': 1.0, 'current_price': 199.43}"
NET,2025-11-18T19:15:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.02638514455006104), np.float64(0.02638514455006104))",0.0,momentum_mom_fast,1.0.0,"{'price': 199.29, 'recent_high': 200.54, 'recent_low': 198.32, 'breaks_high': 0.0, 'breaks_low': 0.0, 'volume_ratio': 0.2696433833128344, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 0.0}",bullish,1.0,0.0,"{'breakout_period': 5, 'volume_mult': 1.0, 'current_price': 199.29}"
NET,2025-11-18T19:30:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.010697916337429243), np.float64(0.010697916337429243))",0.0,momentum_mom_fast,1.0.0,"{'price': 199.534, 'recent_high': 200.1, 'recent_low': 198.32, 'breaks_high': 1.0, 'breaks_low': 0.0, 'volume_ratio': 0.46182657503042407, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 0.0}",bullish,1.0,0.0,"{'breakout_period': 5, 'volume_mult': 1.0, 'current_price': 199.534}"
NET,2025-11-18T19:45:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.009327244821137143), np.float64(0.009327244821137143))",0.0,momentum_mom_fast,1.0.0,"{'price': 199.91, 'recent_high': 200.345, 'recent_low': 198.325, 'breaks_high': 1.0, 'breaks_low': 0.0, 'volume_ratio': 0.5505481808722075, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 0.0}",bullish,1.0,0.0,"{'breakout_period': 5, 'volume_mult': 1.0, 'current_price': 199.91}"
NET,2025-11-18T20:00:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.009282431541094642), np.float64(0.009282431541094642))",0.0,momentum_mom_fast,1.0.0,"{'price': 199.8, 'recent_high': 200.53, 'recent_low': 198.53, 'breaks_high': 0.0, 'breaks_low': 0.0, 'volume_ratio': 0.6621729415820546, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 0.0}",bullish,1.0,0.0,"{'breakout_period': 5, 'volume_mult': 1.0, 'current_price': 199.8}"
NET,2025-11-18T20:15:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.009540471846841482), np.float64(0.009540471846841482))",0.0,momentum_mom_fast,1.0.0,"{'price': 199.035, 'recent_high': 200.53, 'recent_low': 198.8, 'breaks_high': 0.0, 'breaks_low': 1.0, 'volume_ratio': 0.8022981105051676, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 0.0}",bullish,1.0,0.0,"{'breakout_period': 5, 'volume_mult': 1.0, 'current_price': 199.035}"
NET,2025-11-18T20:30:00+00:00,entry,short,0.5737980093932179,-0.024759601878643563,"(np.float64(-0.03459723922503777), np.float64(-0.014921964532249357))",-0.1586533959547854,momentum_mom_fast,1.0.0,"{'price': 198.115, 'recent_high': 200.53, 'recent_low': 198.64, 'breaks_high': 0.0, 'breaks_low': 1.0, 'volume_ratio': 1.0353897560658465, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 1.0}",bullish,1.0,0.0,"{'breakout_period': 5, 'volume_mult': 1.0, 'current_price': 198.115}"
NET,2025-11-18T20:45:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.010534238108267483), np.float64(0.010534238108267483))",0.0,momentum_mom_fast,1.0.0,"{'price': 196.33, 'recent_high': 200.53, 'recent_low': 198.08, 'breaks_high': 0.0, 'breaks_low': 1.0, 'volume_ratio': 4.52112206751853, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 1.0}",bullish,1.0,0.0,"{'breakout_period': 5, 'volume_mult': 1.0, 'current_price': 196.33}"
NET,2025-11-18T21:00:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.009648945923400652), np.float64(0.009648945923400652))",0.0,momentum_mom_fast,1.0.0,"{'price': 196.53, 'recent_high': 200.53, 'recent_low': 196.33, 'breaks_high': 0.0, 'breaks_low': 0.0, 'volume_ratio': 0.0798911832060788, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 1.0}",bullish,1.0,0.0,"{'breakout_period': 5, 'volume_mult': 1.0, 'current_price': 196.53}"
