symbol,timestamp,signal_type,direction,probability,expected_return,confidence_interval,score,model_id,model_version,feature_contributions,regime,data_quality,staleness_seconds,metadata
CRWD,2025-11-18T15:15:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.0067341231421068695), np.float64(0.0067341231421068695))",0.0,momentum_mom_medium,1.0.0,"{'price': 515.755, 'recent_high': 531.33, 'recent_low': 513.0, 'breaks_high': 0.0, 'breaks_low': 0.0, 'volume_ratio': 0.9667655453222623, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 0.0}",bullish,1.0,0.0,"{'breakout_period': 10, 'volume_mult': 1.0, 'current_price': 515.755}"
CRWD,2025-11-18T15:20:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.00729806602364228), np.float64(0.00729806602364228))",0.0,momentum_mom_medium,1.0.0,"{'price': 518.812, 'recent_high': 531.33, 'recent_low': 513.0, 'breaks_high': 0.0, 'breaks_low': 0.0, 'volume_ratio': 1.8559548635292686, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 0.0}",bullish,1.0,0.0,"{'breakout_period': 10, 'volume_mult': 1.0, 'current_price': 518.812}"
CRWD,2025-11-18T15:25:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.007286437782168047), np.float64(0.007286437782168047))",0.0,momentum_mom_medium,1.0.0,"{'price': 518.97, 'recent_high': 528.4547, 'recent_low': 513.0, 'breaks_high': 0.0, 'breaks_low': 0.0, 'volume_ratio': 0.6508446234822429, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 0.0}",bullish,1.0,0.0,"{'breakout_period': 10, 'volume_mult': 1.0, 'current_price': 518.97}"
CRWD,2025-11-18T15:30:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.007282263808589991), np.float64(0.007282263808589991))",0.0,momentum_mom_medium,1.0.0,"{'price': 518.51, 'recent_high': 526.72, 'recent_low': 513.0, 'breaks_high': 0.0, 'breaks_low': 0.0, 'volume_ratio': 0.5696667589771993, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 0.0}",bullish,1.0,0.0,"{'breakout_period': 10, 'volume_mult': 1.0, 'current_price': 518.51}"
CRWD,2025-11-18T15:35:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.007243479165810459), np.float64(0.007243479165810459))",0.0,momentum_mom_medium,1.0.0,"{'price': 518.45, 'recent_high': 525.86, 'recent_low': 513.0, 'breaks_high': 0.0, 'breaks_low': 0.0, 'volume_ratio': 0.37053840402441945, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 0.0}",bullish,1.0,0.0,"{'breakout_period': 10, 'volume_mult': 1.0, 'current_price': 518.45}"
CRWD,2025-11-18T15:40:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.007204407778934012), np.float64(0.007204407778934012))",0.0,momentum_mom_medium,1.0.0,"{'price': 517.865, 'recent_high': 522.87, 'recent_low': 513.0, 'breaks_high': 0.0, 'breaks_low': 0.0, 'volume_ratio': 0.33085377642532826, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 0.0}",bullish,1.0,0.0,"{'breakout_period': 10, 'volume_mult': 1.0, 'current_price': 517.865}"
CRWD,2025-11-18T15:45:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.007164439988101942), np.float64(0.007164439988101942))",0.0,momentum_mom_medium,1.0.0,"{'price': 517.66, 'recent_high': 521.58, 'recent_low': 513.0, 'breaks_high': 0.0, 'breaks_low': 0.0, 'volume_ratio': 0.32252160292849474, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 0.0}",bullish,1.0,0.0,"{'breakout_period': 10, 'volume_mult': 1.0, 'current_price': 517.66}"
CRWD,2025-11-18T15:50:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.0072738994655812865), np.float64(0.0072738994655812865))",0.0,momentum_mom_medium,1.0.0,"{'price': 518.7101, 'recent_high': 521.58, 'recent_low': 513.0, 'breaks_high': 0.0, 'breaks_low': 0.0, 'volume_ratio': 0.5607006533979603, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 0.0}",bullish,1.0,0.0,"{'breakout_period': 10, 'volume_mult': 1.0, 'current_price': 518.7101}"
CRWD,2025-11-18T15:55:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.007267951759956801), np.float64(0.007267951759956801))",0.0,momentum_mom_medium,1.0.0,"{'price': 518.445, 'recent_high': 521.58, 'recent_low': 513.0, 'breaks_high': 0.0, 'breaks_low': 0.0, 'volume_ratio': 0.24992311357898686, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 0.0}",bullish,1.0,0.0,"{'breakout_period': 10, 'volume_mult': 1.0, 'current_price': 518.445}"
CRWD,2025-11-18T16:00:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.007467647299638822), np.float64(0.007467647299638822))",0.0,momentum_mom_medium,1.0.0,"{'price': 516.0446, 'recent_high': 521.58, 'recent_low': 513.0, 'breaks_high': 0.0, 'breaks_low': 0.0, 'volume_ratio': 1.1238981117324676, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'in_long': 0.0, 'in_short': 0.0}",bullish,1.0,0.0,"{'breakout_period': 10, 'volume_mult': 1.0, 'current_price': 516.0446}"
