symbol,timestamp,signal_type,direction,probability,expected_return,confidence_interval,score,model_id,model_version,feature_contributions,regime,data_quality,staleness_seconds,metadata
COIN,2025-11-18T16:15:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.011877136746678073), np.float64(0.011877136746678073))",0.0,momentum_mom_trend,1.0.0,"{'price': 268.6, 'recent_high': 271.0, 'recent_low': 260.0098, 'breaks_high': 0.0, 'breaks_low': 0.0, 'volume_ratio': 1.6190383776567934, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 0.0, 'in_long': 0.0, 'in_short': 0.0}",bullish,1.0,0.0,"{'breakout_period': 10, 'volume_mult': 1.2, 'current_price': 268.6}"
COIN,2025-11-18T16:30:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.0119149469950264), np.float64(0.0119149469950264))",0.0,momentum_mom_trend,1.0.0,"{'price': 268.01, 'recent_high': 271.0, 'recent_low': 260.1, 'breaks_high': 0.0, 'breaks_low': 0.0, 'volume_ratio': 1.914051308497663, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 0.0, 'in_long': 0.0, 'in_short': 0.0}",bullish,1.0,0.0,"{'breakout_period': 10, 'volume_mult': 1.2, 'current_price': 268.01}"
COIN,2025-11-18T16:45:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.011913911722601029), np.float64(0.011913911722601029))",0.0,momentum_mom_trend,1.0.0,"{'price': 268.1299, 'recent_high': 271.0, 'recent_low': 260.15, 'breaks_high': 0.0, 'breaks_low': 0.0, 'volume_ratio': 0.9841700015812969, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 0.0, 'in_long': 0.0, 'in_short': 0.0}",bullish,1.0,0.0,"{'breakout_period': 10, 'volume_mult': 1.2, 'current_price': 268.1299}"
COIN,2025-11-18T17:00:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.01157391106192478), np.float64(0.01157391106192478))",0.0,momentum_mom_trend,1.0.0,"{'price': 266.455, 'recent_high': 271.0, 'recent_low': 261.0, 'breaks_high': 0.0, 'breaks_low': 0.0, 'volume_ratio': 0.6565409190319625, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 0.0, 'in_long': 0.0, 'in_short': 0.0}",bullish,1.0,0.0,"{'breakout_period': 10, 'volume_mult': 1.2, 'current_price': 266.455}"
COIN,2025-11-18T17:15:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.011905106382139399), np.float64(0.011905106382139399))",0.0,momentum_mom_trend,1.0.0,"{'price': 265.0518, 'recent_high': 270.58, 'recent_low': 261.47, 'breaks_high': 0.0, 'breaks_low': 0.0, 'volume_ratio': 0.7098121784472893, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 0.0, 'in_long': 0.0, 'in_short': 0.0}",bullish,1.0,0.0,"{'breakout_period': 10, 'volume_mult': 1.2, 'current_price': 265.0518}"
COIN,2025-11-18T17:30:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.012336510008497479), np.float64(0.012336510008497479))",0.0,momentum_mom_trend,1.0.0,"{'price': 267.2778, 'recent_high': 270.58, 'recent_low': 261.47, 'breaks_high': 0.0, 'breaks_low': 0.0, 'volume_ratio': 1.1429262181460045, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 0.0, 'in_long': 0.0, 'in_short': 0.0}",bullish,1.0,0.0,"{'breakout_period': 10, 'volume_mult': 1.2, 'current_price': 267.2778}"
COIN,2025-11-18T17:45:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.011740585743796026), np.float64(0.011740585743796026))",0.0,momentum_mom_trend,1.0.0,"{'price': 268.3865, 'recent_high': 270.58, 'recent_low': 262.69, 'breaks_high': 0.0, 'breaks_low': 0.0, 'volume_ratio': 1.0017409790601337, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 0.0, 'in_long': 0.0, 'in_short': 0.0}",bullish,1.0,0.0,"{'breakout_period': 10, 'volume_mult': 1.2, 'current_price': 268.3865}"
COIN,2025-11-18T18:00:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.011443194535472535), np.float64(0.011443194535472535))",0.0,momentum_mom_trend,1.0.0,"{'price': 267.755, 'recent_high': 270.58, 'recent_low': 262.87, 'breaks_high': 0.0, 'breaks_low': 0.0, 'volume_ratio': 0.6247468959021163, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 0.0, 'in_long': 0.0, 'in_short': 0.0}",bullish,1.0,0.0,"{'breakout_period': 10, 'volume_mult': 1.2, 'current_price': 267.755}"
COIN,2025-11-18T18:15:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.012195347818971655), np.float64(0.012195347818971655))",0.0,momentum_mom_trend,1.0.0,"{'price': 265.54, 'recent_high': 270.58, 'recent_low': 262.87, 'breaks_high': 0.0, 'breaks_low': 0.0, 'volume_ratio': 0.47809305539333313, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 0.0, 'in_long': 0.0, 'in_short': 0.0}",bullish,1.0,0.0,"{'breakout_period': 10, 'volume_mult': 1.2, 'current_price': 265.54}"
COIN,2025-11-18T18:30:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.012382321121555117), np.float64(0.012382321121555117))",0.0,momentum_mom_trend,1.0.0,"{'price': 267.201083, 'recent_high': 270.58, 'recent_low': 263.5, 'breaks_high': 0.0, 'breaks_low': 0.0, 'volume_ratio': 0.4334601870940858, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 0.0, 'in_long': 0.0, 'in_short': 0.0}",bullish,1.0,0.0,"{'breakout_period': 10, 'volume_mult': 1.2, 'current_price': 267.201083}"
