symbol,timestamp,signal_type,direction,probability,expected_return,confidence_interval,score,model_id,model_version,feature_contributions,regime,data_quality,staleness_seconds,metadata
DKNG,2025-11-18T14:55:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.00740717023100904), np.float64(0.00740717023100904))",-0.08146506777893606,rsi_rsi_relaxed,1.0.0,"{'rsi': 58.146506777893606, 'rsi_prev': 66.82872101720261, 'volume_ratio': 2.29430099827303, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",neutral,1.0,0.0,"{'rsi_period': 7, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 28.665}"
DKNG,2025-11-18T15:00:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.007492704633010565), np.float64(0.007492704633010565))",-0.08604834471886484,rsi_rsi_relaxed,1.0.0,"{'rsi': 58.604834471886484, 'rsi_prev': 58.146506777893606, 'volume_ratio': 2.0342608366458452, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",neutral,1.0,0.0,"{'rsi_period': 7, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 28.601}"
DKNG,2025-11-18T15:05:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.007554177999323788), np.float64(0.007554177999323788))",0.1494229183841702,rsi_rsi_relaxed,1.0.0,"{'rsi': 35.05770816158298, 'rsi_prev': 58.604834471886484, 'volume_ratio': 1.5194932106428565, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",trending,1.0,0.0,"{'rsi_period': 7, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 28.71}"
DKNG,2025-11-18T15:10:00+00:00,entry,long,0.6124739691795095,0.029371095376926414,"(np.float64(0.021828691240399708), np.float64(0.036913499513453116))",0.3123698458975471,rsi_rsi_relaxed,1.0.0,"{'rsi': 34.381507705122644, 'rsi_prev': 35.05770816158298, 'volume_ratio': 1.600018045074017, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 1.0, 'is_overbought': 0.0, 'in_long': 1.0, 'in_short': 0.0}",oversold,1.0,0.0,"{'rsi_period': 7, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 28.72}"
DKNG,2025-11-18T15:15:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.008093723960115512), np.float64(0.008093723960115512))",0.23396712858524168,rsi_rsi_relaxed,1.0.0,"{'rsi': 26.603287141475832, 'rsi_prev': 34.381507705122644, 'volume_ratio': 1.8110748230498832, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 1.0, 'is_overbought': 0.0, 'in_long': 1.0, 'in_short': 0.0}",oversold,1.0,0.0,"{'rsi_period': 7, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 28.5296}"
DKNG,2025-11-18T15:20:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.008094296550682122), np.float64(0.008094296550682122))",0.08944560868737056,rsi_rsi_relaxed,1.0.0,"{'rsi': 41.05543913126294, 'rsi_prev': 26.603287141475832, 'volume_ratio': 1.4808430641045753, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 1.0, 'in_short': 0.0}",neutral,1.0,0.0,"{'rsi_period': 7, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 28.58}"
DKNG,2025-11-18T15:25:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.008081811895173001), np.float64(0.008081811895173001))",0.15343698854337076,rsi_rsi_relaxed,1.0.0,"{'rsi': 34.65630114566292, 'rsi_prev': 41.05543913126294, 'volume_ratio': 1.0076150622126314, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 1.0, 'is_overbought': 0.0, 'in_long': 1.0, 'in_short': 0.0}",oversold,1.0,0.0,"{'rsi_period': 7, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 28.57}"
DKNG,2025-11-18T15:30:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.00812563402632618), np.float64(0.00812563402632618))",0.15343698854337076,rsi_rsi_relaxed,1.0.0,"{'rsi': 34.65630114566292, 'rsi_prev': 34.65630114566292, 'volume_ratio': 1.2106853974905973, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 1.0, 'is_overbought': 0.0, 'in_long': 1.0, 'in_short': 0.0}",oversold,1.0,0.0,"{'rsi_period': 7, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 28.515}"
DKNG,2025-11-18T15:35:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.00809732110200009), np.float64(0.00809732110200009))",0.1469362234264267,rsi_rsi_relaxed,1.0.0,"{'rsi': 35.30637765735733, 'rsi_prev': 34.65630114566292, 'volume_ratio': 1.2480804455216563, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 1.0, 'in_short': 0.0}",trending,1.0,0.0,"{'rsi_period': 7, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 28.46}"
DKNG,2025-11-18T15:40:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.008126569231660188), np.float64(0.008126569231660188))",0.3,rsi_rsi_relaxed,1.0.0,"{'rsi': 14.480939822584048, 'rsi_prev': 35.30637765735733, 'volume_ratio': 1.0242195924347728, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 1.0, 'is_overbought': 0.0, 'in_long': 1.0, 'in_short': 0.0}",oversold,1.0,0.0,"{'rsi_period': 7, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 28.4137}"
