symbol,timestamp,signal_type,direction,probability,expected_return,confidence_interval,score,model_id,model_version,feature_contributions,regime,data_quality,staleness_seconds,metadata
NET,2025-11-18T13:45:00+00:00,entry,long,0.7199999999999991,0.04549999999999986,"(np.float64(0.037307243312379994), np.float64(0.053692756687619726))",0.8499999999999954,rsi_rsi_relaxed,1.0.0,"{'rsi': 7.500000000000227, 'rsi_prev': 29.607250755287282, 'volume_ratio': 1.6308729703159743, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 1.0, 'is_overbought': 0.0, 'in_long': 1.0, 'in_short': 0.0}",oversold,1.0,0.0,"{'rsi_period': 7, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 192.44}"
NET,2025-11-18T13:50:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.008187314857618071), np.float64(0.008187314857618071))",0.3,rsi_rsi_relaxed,1.0.0,"{'rsi': 7.594936708861013, 'rsi_prev': 7.500000000000227, 'volume_ratio': 2.6076168188580064, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 1.0, 'is_overbought': 0.0, 'in_long': 1.0, 'in_short': 0.0}",oversold,1.0,0.0,"{'rsi_period': 7, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 192.15}"
NET,2025-11-18T13:55:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.007790962517435467), np.float64(0.007790962517435467))",0.3,rsi_rsi_relaxed,1.0.0,"{'rsi': 16.020671834625418, 'rsi_prev': 7.594936708861013, 'volume_ratio': 1.7643845101125661, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 1.0, 'is_overbought': 0.0, 'in_long': 1.0, 'in_short': 0.0}",oversold,1.0,0.0,"{'rsi_period': 7, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 192.47}"
NET,2025-11-18T14:00:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.0075876114737024394), np.float64(0.0075876114737024394))",0.29754601226993527,rsi_rsi_relaxed,1.0.0,"{'rsi': 20.24539877300647, 'rsi_prev': 16.020671834625418, 'volume_ratio': 1.1898223002715393, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 1.0, 'is_overbought': 0.0, 'in_long': 1.0, 'in_short': 0.0}",oversold,1.0,0.0,"{'rsi_period': 7, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 192.675}"
NET,2025-11-18T14:05:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.007329097989516982), np.float64(0.007329097989516982))",0.3,rsi_rsi_relaxed,1.0.0,"{'rsi': 19.154228855721016, 'rsi_prev': 20.24539877300647, 'volume_ratio': 0.7002334626343955, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 1.0, 'is_overbought': 0.0, 'in_long': 1.0, 'in_short': 0.0}",oversold,1.0,0.0,"{'rsi_period': 7, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 192.92}"
NET,2025-11-18T14:10:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.007725627766729232), np.float64(0.007725627766729232))",0.1263269639065821,rsi_rsi_relaxed,1.0.0,"{'rsi': 37.36730360934179, 'rsi_prev': 19.154228855721016, 'volume_ratio': 2.180531702317833, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 1.0, 'in_short': 0.0}",trending,1.0,0.0,"{'rsi_period': 7, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 193.91}"
NET,2025-11-18T14:15:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.007943313414981102), np.float64(0.007943313414981102))",0.1018099547511322,rsi_rsi_relaxed,1.0.0,"{'rsi': 39.81900452488678, 'rsi_prev': 37.36730360934179, 'volume_ratio': 0.946636271734282, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 1.0, 'in_short': 0.0}",trending,1.0,0.0,"{'rsi_period': 7, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 192.91}"
NET,2025-11-18T14:20:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.00798760276191092), np.float64(0.00798760276191092))",0.019125683060107618,rsi_rsi_relaxed,1.0.0,"{'rsi': 48.08743169398924, 'rsi_prev': 39.81900452488678, 'volume_ratio': 1.175462939171249, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 1.0, 'in_short': 0.0}",neutral,1.0,0.0,"{'rsi_period': 7, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 192.3}"
NET,2025-11-18T14:25:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.013304380118007846), np.float64(0.013304380118007846))",0.2861482381530992,rsi_rsi_relaxed,1.0.0,"{'rsi': 21.38517618469008, 'rsi_prev': 48.08743169398924, 'volume_ratio': 4.431887230164093, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 1.0, 'is_overbought': 0.0, 'in_long': 1.0, 'in_short': 0.0}",oversold,1.0,0.0,"{'rsi_period': 7, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 187.44}"
NET,2025-11-18T14:30:00+00:00,exit,neutral,0.6,0.0,"(np.float64(-0.025745940679758605), np.float64(0.025745940679758605))",0.0,rsi_rsi_relaxed,1.0.0,"{'rsi': 61.396642044844334, 'rsi_prev': 21.38517618469008, 'volume_ratio': 14.050858891667763, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",trending,1.0,0.0,"{'rsi_period': 7, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 196.2902}"
NET,2025-11-18T14:35:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.025857854516023338), np.float64(0.025857854516023338))",-0.1344116400621555,rsi_rsi_relaxed,1.0.0,"{'rsi': 63.44116400621555, 'rsi_prev': 61.396642044844334, 'volume_ratio': 3.736333720748768, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",trending,1.0,0.0,"{'rsi_period': 7, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 197.4325}"
NET,2025-11-18T14:40:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.02568881430219854), np.float64(0.02568881430219854))",-0.13353157745681116,rsi_rsi_relaxed,1.0.0,"{'rsi': 63.353157745681116, 'rsi_prev': 63.44116400621555, 'volume_ratio': 2.8201425263617264, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",trending,1.0,0.0,"{'rsi_period': 7, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 197.635}"
NET,2025-11-18T14:45:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.025605004487169396), np.float64(0.025605004487169396))",-0.140155728587319,rsi_rsi_relaxed,1.0.0,"{'rsi': 64.0155728587319, 'rsi_prev': 63.353157745681116, 'volume_ratio': 3.1340508941457537, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",trending,1.0,0.0,"{'rsi_period': 7, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 198.95}"
NET,2025-11-18T14:50:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.026436586169138045), np.float64(0.026436586169138045))",-0.08219524532119386,rsi_rsi_relaxed,1.0.0,"{'rsi': 58.21952453211939, 'rsi_prev': 64.0155728587319, 'volume_ratio': 1.562870321681612, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",neutral,1.0,0.0,"{'rsi_period': 7, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 196.16}"
