symbol,timestamp,signal_type,direction,probability,expected_return,confidence_interval,score,model_id,model_version,feature_contributions,regime,data_quality,staleness_seconds,metadata
COIN,2025-11-18T16:15:00+00:00,entry,short,0.6535928143712578,-0.035538922155688664,"(np.float64(-0.047416058902366734), np.float64(-0.02366178540901059))",-0.5179640718562888,rsi_rsi_standard,1.0.0,"{'rsi': 79.34131736526952, 'rsi_prev': 70.19960640989609, 'volume_ratio': 1.6190383776567934, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 0.0, 'is_overbought': 1.0, 'in_long': 0.0, 'in_short': 1.0}",overbought,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 268.6}"
COIN,2025-11-18T16:30:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.0119149469950264), np.float64(0.0119149469950264))",-0.2322730284956917,rsi_rsi_standard,1.0.0,"{'rsi': 73.22730284956917, 'rsi_prev': 79.34131736526952, 'volume_ratio': 1.914051308497663, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 0.0, 'is_overbought': 1.0, 'in_long': 0.0, 'in_short': 1.0}",overbought,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 268.01}"
COIN,2025-11-18T16:45:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.011913911722601029), np.float64(0.011913911722601029))",-0.2441688485599495,rsi_rsi_standard,1.0.0,"{'rsi': 74.41688485599495, 'rsi_prev': 73.22730284956917, 'volume_ratio': 0.9841700015812969, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 0.0, 'is_overbought': 1.0, 'in_long': 0.0, 'in_short': 1.0}",overbought,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 268.1299}"
COIN,2025-11-18T17:00:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.01157391106192478), np.float64(0.01157391106192478))",-0.18089217789915069,rsi_rsi_standard,1.0.0,"{'rsi': 68.08921778991507, 'rsi_prev': 74.41688485599495, 'volume_ratio': 0.6565409190319625, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 1.0}",trending,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 266.455}"
COIN,2025-11-18T17:15:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.011905106382139399), np.float64(0.011905106382139399))",-0.1297158642462513,rsi_rsi_standard,1.0.0,"{'rsi': 62.97158642462513, 'rsi_prev': 68.08921778991507, 'volume_ratio': 0.7098121784472893, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 1.0}",trending,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 265.0518}"
COIN,2025-11-18T17:30:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.012336510008497479), np.float64(0.012336510008497479))",-0.18123982912937392,rsi_rsi_standard,1.0.0,"{'rsi': 68.1239829129374, 'rsi_prev': 62.97158642462513, 'volume_ratio': 1.1429262181460045, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 1.0}",trending,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 267.2778}"
COIN,2025-11-18T17:45:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.011740585743796026), np.float64(0.011740585743796026))",-0.17711343604959665,rsi_rsi_standard,1.0.0,"{'rsi': 67.71134360495967, 'rsi_prev': 68.1239829129374, 'volume_ratio': 1.0017409790601337, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 1.0}",trending,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 268.3865}"
COIN,2025-11-18T18:00:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.011443194535472535), np.float64(0.011443194535472535))",-0.06645008860011821,rsi_rsi_standard,1.0.0,"{'rsi': 56.64500886001182, 'rsi_prev': 67.71134360495967, 'volume_ratio': 0.6247468959021163, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 1.0}",neutral,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 267.755}"
COIN,2025-11-18T18:15:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.012195347818971655), np.float64(0.012195347818971655))",-0.03692850165582648,rsi_rsi_standard,1.0.0,"{'rsi': 53.69285016558265, 'rsi_prev': 56.64500886001182, 'volume_ratio': 0.47809305539333313, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 1.0}",neutral,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 265.54}"
COIN,2025-11-18T18:30:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.012382321121555117), np.float64(0.012382321121555117))",-0.0607640849584147,rsi_rsi_standard,1.0.0,"{'rsi': 56.07640849584147, 'rsi_prev': 53.69285016558265, 'volume_ratio': 0.4334601870940858, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 1.0}",neutral,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 267.201083}"
