symbol,timestamp,signal_type,direction,probability,expected_return,confidence_interval,score,model_id,model_version,feature_contributions,regime,data_quality,staleness_seconds,metadata
DKNG,2025-11-18T14:55:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.00740717023100904), np.float64(0.00740717023100904))",-0.037597754160817655,rsi_rsi_standard,1.0.0,"{'rsi': 53.759775416081766, 'rsi_prev': 58.22706705059643, 'volume_ratio': 2.29430099827303, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",neutral,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 28.665}"
DKNG,2025-11-18T15:00:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.007492704633010565), np.float64(0.007492704633010565))",-0.009986684420772605,rsi_rsi_standard,1.0.0,"{'rsi': 50.99866844207726, 'rsi_prev': 53.759775416081766, 'volume_ratio': 2.0342608366458452, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",neutral,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 28.601}"
DKNG,2025-11-18T15:05:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.007554177999323788), np.float64(0.007554177999323788))",-0.09170946441672698,rsi_rsi_standard,1.0.0,"{'rsi': 59.1709464416727, 'rsi_prev': 50.99866844207726, 'volume_ratio': 1.5194932106428565, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",neutral,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 28.71}"
DKNG,2025-11-18T15:10:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.007542404136526705), np.float64(0.007542404136526705))",-0.09541984732824269,rsi_rsi_standard,1.0.0,"{'rsi': 59.54198473282427, 'rsi_prev': 59.1709464416727, 'volume_ratio': 1.600018045074017, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",neutral,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 28.72}"
DKNG,2025-11-18T15:15:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.008093723960115512), np.float64(0.008093723960115512))",-0.007554040443169256,rsi_rsi_standard,1.0.0,"{'rsi': 50.755404044316926, 'rsi_prev': 59.54198473282427, 'volume_ratio': 1.8110748230498832, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",neutral,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 28.5296}"
DKNG,2025-11-18T15:20:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.008094296550682122), np.float64(0.008094296550682122))",-0.030052592036062434,rsi_rsi_standard,1.0.0,"{'rsi': 53.00525920360624, 'rsi_prev': 50.755404044316926, 'volume_ratio': 1.4808430641045753, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",neutral,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 28.58}"
DKNG,2025-11-18T15:25:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.008081811895173001), np.float64(0.008081811895173001))",-0.04647560030983769,rsi_rsi_standard,1.0.0,"{'rsi': 54.64756003098377, 'rsi_prev': 53.00525920360624, 'volume_ratio': 1.0076150622126314, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",neutral,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 28.57}"
DKNG,2025-11-18T15:30:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.00812563402632618), np.float64(0.00812563402632618))",0.009952229299362472,rsi_rsi_standard,1.0.0,"{'rsi': 49.00477707006375, 'rsi_prev': 54.64756003098377, 'volume_ratio': 1.2106853974905973, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",neutral,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 28.515}"
DKNG,2025-11-18T15:35:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.00809732110200009), np.float64(0.00809732110200009))",0.004029008863818717,rsi_rsi_standard,1.0.0,"{'rsi': 49.59709911361813, 'rsi_prev': 49.00477707006375, 'volume_ratio': 1.2480804455216563, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",neutral,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 28.46}"
DKNG,2025-11-18T15:40:00+00:00,entry,long,0.5736924902181106,0.02355387353271659,"(np.float64(0.015427304301056401), np.float64(0.03168044276437677))",0.11846245109055299,rsi_rsi_standard,1.0.0,"{'rsi': 25.545827330156172, 'rsi_prev': 49.59709911361813, 'volume_ratio': 1.0242195924347728, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 1.0, 'is_overbought': 0.0, 'in_long': 1.0, 'in_short': 0.0}",oversold,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 28.4137}"
DKNG,2025-11-18T15:45:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.008149194300048105), np.float64(0.008149194300048105))",0.2685284640171865,rsi_rsi_standard,1.0.0,"{'rsi': 23.14715359828135, 'rsi_prev': 25.545827330156172, 'volume_ratio': 0.9864298961627974, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 1.0, 'is_overbought': 0.0, 'in_long': 1.0, 'in_short': 0.0}",oversold,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 28.37}"
DKNG,2025-11-18T15:50:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.008353697758801284), np.float64(0.008353697758801284))",0.17154389505550013,rsi_rsi_standard,1.0.0,"{'rsi': 32.845610494449986, 'rsi_prev': 23.14715359828135, 'volume_ratio': 1.1888943702815302, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 1.0, 'in_short': 0.0}",trending,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 28.48}"
DKNG,2025-11-18T15:55:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.00841271687870088), np.float64(0.00841271687870088))",0.14807006162828515,rsi_rsi_standard,1.0.0,"{'rsi': 35.192993837171485, 'rsi_prev': 32.845610494449986, 'volume_ratio': 0.9879308560772028, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 1.0, 'in_short': 0.0}",trending,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 28.4}"
DKNG,2025-11-18T16:00:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.008443210380997969), np.float64(0.008443210380997969))",0.11238250919493196,rsi_rsi_standard,1.0.0,"{'rsi': 38.7617490805068, 'rsi_prev': 35.192993837171485, 'volume_ratio': 0.8970583499422118, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 1.0, 'in_short': 0.0}",trending,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 28.5}"
