symbol,timestamp,signal_type,direction,probability,expected_return,confidence_interval,score,model_id,model_version,feature_contributions,regime,data_quality,staleness_seconds,metadata
NET,2025-11-18T13:45:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.008192756687619868), np.float64(0.008192756687619868))",0.1413043478260856,rsi_rsi_standard,1.0.0,"{'rsi': 35.86956521739144, 'rsi_prev': 45.22370012091907, 'volume_ratio': 1.6308729703159743, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",trending,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 192.44}"
NET,2025-11-18T13:50:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.008187314857618071), np.float64(0.008187314857618071))",0.16702586206896414,rsi_rsi_standard,1.0.0,"{'rsi': 33.29741379310359, 'rsi_prev': 35.86956521739144, 'volume_ratio': 2.6076168188580064, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",trending,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 192.15}"
NET,2025-11-18T13:55:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.007790962517435467), np.float64(0.007790962517435467))",0.19943502824858642,rsi_rsi_standard,1.0.0,"{'rsi': 30.05649717514136, 'rsi_prev': 33.29741379310359, 'volume_ratio': 1.7643845101125661, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",trending,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 192.47}"
NET,2025-11-18T14:00:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.0075876114737024394), np.float64(0.0075876114737024394))",0.15293761356753252,rsi_rsi_standard,1.0.0,"{'rsi': 34.70623864324675, 'rsi_prev': 30.05649717514136, 'volume_ratio': 1.1898223002715393, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",trending,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 192.675}"
NET,2025-11-18T14:05:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.007329097989516982), np.float64(0.007329097989516982))",0.13107947805456696,rsi_rsi_standard,1.0.0,"{'rsi': 36.892052194543304, 'rsi_prev': 34.70623864324675, 'volume_ratio': 0.7002334626343955, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",trending,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 192.92}"
NET,2025-11-18T14:10:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.007725627766729232), np.float64(0.007725627766729232))",0.16004962779156343,rsi_rsi_standard,1.0.0,"{'rsi': 33.995037220843656, 'rsi_prev': 36.892052194543304, 'volume_ratio': 2.180531702317833, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",trending,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 193.91}"
NET,2025-11-18T14:15:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.007943313414981102), np.float64(0.007943313414981102))",0.14553686934023247,rsi_rsi_standard,1.0.0,"{'rsi': 35.44631306597675, 'rsi_prev': 33.995037220843656, 'volume_ratio': 0.946636271734282, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",trending,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 192.91}"
NET,2025-11-18T14:20:00+00:00,entry,long,0.5855551175395401,0.025333267630931022,"(np.float64(0.017345664869020103), np.float64(0.03332087039284194))",0.1777755876977007,rsi_rsi_standard,1.0.0,"{'rsi': 26.892950391644945, 'rsi_prev': 35.44631306597675, 'volume_ratio': 1.175462939171249, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 1.0, 'is_overbought': 0.0, 'in_long': 1.0, 'in_short': 0.0}",oversold,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 192.3}"
NET,2025-11-18T14:25:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.013304380118007846), np.float64(0.013304380118007846))",0.3,rsi_rsi_standard,1.0.0,"{'rsi': 16.91297208538589, 'rsi_prev': 26.892950391644945, 'volume_ratio': 4.431887230164093, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 1.0, 'is_overbought': 0.0, 'in_long': 1.0, 'in_short': 0.0}",oversold,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 187.44}"
NET,2025-11-18T14:30:00+00:00,exit,neutral,0.6,0.0,"(np.float64(-0.025745940679758605), np.float64(0.025745940679758605))",0.0,rsi_rsi_standard,1.0.0,"{'rsi': 52.88460606295625, 'rsi_prev': 16.91297208538589, 'volume_ratio': 14.050858891667763, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 1.0, 'trend_sma': 0.0, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",neutral,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 0, 'current_price': 196.2902}"
