symbol,timestamp,signal_type,direction,probability,expected_return,confidence_interval,score,model_id,model_version,feature_contributions,regime,data_quality,staleness_seconds,metadata
COIN,2025-11-18T11:25:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.0028474911220934033), np.float64(0.0028474911220934033))",0.18421052631579016,rsi_rsi_trend,1.0.0,"{'rsi': 31.578947368420984, 'rsi_prev': 33.75796178343991, 'volume_ratio': 0.8122707183916347, 'volume_confirmed': 0.0, 'trend_bullish': 0.0, 'trend_bearish': 1.0, 'trend_sma': 262.4045, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",trending,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 20, 'current_price': 261.5}"
COIN,2025-11-18T11:30:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.003010366355025654), np.float64(0.003010366355025654))",0.1704805491990855,rsi_rsi_trend,1.0.0,"{'rsi': 32.95194508009145, 'rsi_prev': 31.578947368420984, 'volume_ratio': 1.192562633411976, 'volume_confirmed': 1.0, 'trend_bullish': 0.0, 'trend_bearish': 1.0, 'trend_sma': 262.3005, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",trending,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 20, 'current_price': 260.73}"
COIN,2025-11-18T11:35:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.0029729659038678093), np.float64(0.0029729659038678093))",0.23671497584540574,rsi_rsi_trend,1.0.0,"{'rsi': 26.328502415459425, 'rsi_prev': 32.95194508009145, 'volume_ratio': 1.3183853693671124, 'volume_confirmed': 1.0, 'trend_bullish': 0.0, 'trend_bearish': 1.0, 'trend_sma': 262.1825, 'is_oversold': 1.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",oversold,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 20, 'current_price': 260.61}"
COIN,2025-11-18T11:40:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.0031137497947954632), np.float64(0.0031137497947954632))",0.18232662192393576,rsi_rsi_trend,1.0.0,"{'rsi': 31.767337807606424, 'rsi_prev': 26.328502415459425, 'volume_ratio': 0.34241348418992, 'volume_confirmed': 0.0, 'trend_bullish': 0.0, 'trend_bearish': 1.0, 'trend_sma': 262.08, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",trending,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 20, 'current_price': 261.1}"
COIN,2025-11-18T11:45:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.003113813242456089), np.float64(0.003113813242456089))",0.17431192660550196,rsi_rsi_trend,1.0.0,"{'rsi': 32.568807339449805, 'rsi_prev': 31.767337807606424, 'volume_ratio': 0.5684392635004325, 'volume_confirmed': 0.0, 'trend_bullish': 0.0, 'trend_bearish': 1.0, 'trend_sma': 261.978, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",trending,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 20, 'current_price': 261.01}"
COIN,2025-11-18T11:50:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.0031174596748752646), np.float64(0.0031174596748752646))",0.175057208237983,rsi_rsi_trend,1.0.0,"{'rsi': 32.4942791762017, 'rsi_prev': 32.568807339449805, 'volume_ratio': 0.20712547023677805, 'volume_confirmed': 0.0, 'trend_bullish': 0.0, 'trend_bearish': 1.0, 'trend_sma': 261.8735, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",trending,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 20, 'current_price': 260.81}"
COIN,2025-11-18T11:55:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.0031655377180201815), np.float64(0.0031655377180201815))",0.0914221218961626,rsi_rsi_trend,1.0.0,"{'rsi': 40.85778781038374, 'rsi_prev': 32.4942791762017, 'volume_ratio': 0.44831880448318806, 'volume_confirmed': 0.0, 'trend_bullish': 0.0, 'trend_bearish': 1.0, 'trend_sma': 261.77450000000005, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",neutral,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 20, 'current_price': 261.2}"
COIN,2025-11-18T12:00:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.0032143406207471425), np.float64(0.0032143406207471425))",0.17222222222222414,rsi_rsi_trend,1.0.0,"{'rsi': 32.77777777777759, 'rsi_prev': 40.85778781038374, 'volume_ratio': 7.054978261539885, 'volume_confirmed': 1.0, 'trend_bullish': 0.0, 'trend_bearish': 1.0, 'trend_sma': 261.673, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",trending,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 20, 'current_price': 260.19}"
COIN,2025-11-18T12:05:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.0031302067422709374), np.float64(0.0031302067422709374))",0.26906779661017327,rsi_rsi_trend,1.0.0,"{'rsi': 23.093220338982675, 'rsi_prev': 32.77777777777759, 'volume_ratio': 2.1303755815272893, 'volume_confirmed': 1.0, 'trend_bullish': 0.0, 'trend_bearish': 1.0, 'trend_sma': 261.55800000000005, 'is_oversold': 1.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",oversold,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 20, 'current_price': 260.27}"
COIN,2025-11-18T12:10:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.0036608396149805885), np.float64(0.0036608396149805885))",0.3,rsi_rsi_trend,1.0.0,"{'rsi': 18.825561312607633, 'rsi_prev': 23.093220338982675, 'volume_ratio': 3.7157802111849825, 'volume_confirmed': 1.0, 'trend_bullish': 0.0, 'trend_bearish': 1.0, 'trend_sma': 261.3715, 'is_oversold': 1.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",oversold,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 20, 'current_price': 259.0}"
COIN,2025-11-18T12:15:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.004675104422854219), np.float64(0.004675104422854219))",0.12189781021897979,rsi_rsi_trend,1.0.0,"{'rsi': 37.81021897810202, 'rsi_prev': 18.825561312607633, 'volume_ratio': 1.3388614553246996, 'volume_confirmed': 1.0, 'trend_bullish': 0.0, 'trend_bearish': 1.0, 'trend_sma': 261.27000000000004, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",trending,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 20, 'current_price': 260.5}"
COIN,2025-11-18T12:20:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.004768284509289243), np.float64(0.004768284509289243))",0.12733812949640275,rsi_rsi_trend,1.0.0,"{'rsi': 37.266187050359726, 'rsi_prev': 37.81021897810202, 'volume_ratio': 3.4421992481203008, 'volume_confirmed': 1.0, 'trend_bullish': 0.0, 'trend_bearish': 1.0, 'trend_sma': 261.14549999999997, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",trending,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 20, 'current_price': 259.85}"
COIN,2025-11-18T12:25:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.004762199030056216), np.float64(0.004762199030056216))",0.11627906976744555,rsi_rsi_trend,1.0.0,"{'rsi': 38.372093023255445, 'rsi_prev': 37.266187050359726, 'volume_ratio': 0.5034163197989476, 'volume_confirmed': 0.0, 'trend_bullish': 0.0, 'trend_bearish': 1.0, 'trend_sma': 261.04, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",trending,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 20, 'current_price': 259.9}"
COIN,2025-11-18T12:30:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.00476046418879333), np.float64(0.00476046418879333))",0.10709010339734157,rsi_rsi_trend,1.0.0,"{'rsi': 39.29098966026584, 'rsi_prev': 38.372093023255445, 'volume_ratio': 2.3167294952970026, 'volume_confirmed': 1.0, 'trend_bullish': 0.0, 'trend_bearish': 1.0, 'trend_sma': 260.9335, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",trending,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 20, 'current_price': 259.92}"
COIN,2025-11-18T12:35:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.004503741949450962), np.float64(0.004503741949450962))",0.12068965517241559,rsi_rsi_trend,1.0.0,"{'rsi': 37.93103448275844, 'rsi_prev': 39.29098966026584, 'volume_ratio': 0.6368330464716007, 'volume_confirmed': 0.0, 'trend_bullish': 0.0, 'trend_bearish': 1.0, 'trend_sma': 260.7875, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",trending,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 20, 'current_price': 259.89}"
COIN,2025-11-18T12:40:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.004762564622553746), np.float64(0.004762564622553746))",0.00600600600600913,rsi_rsi_trend,1.0.0,"{'rsi': 49.39939939939909, 'rsi_prev': 37.93103448275844, 'volume_ratio': 1.391695489938832, 'volume_confirmed': 1.0, 'trend_bullish': 0.0, 'trend_bearish': 1.0, 'trend_sma': 260.6895, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",neutral,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 20, 'current_price': 260.65}"
COIN,2025-11-18T12:45:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.004943397106390112), np.float64(0.004943397106390112))",0.05957161981258345,rsi_rsi_trend,1.0.0,"{'rsi': 44.042838018741655, 'rsi_prev': 49.39939939939909, 'volume_ratio': 1.074381507772778, 'volume_confirmed': 1.0, 'trend_bullish': 0.0, 'trend_bearish': 1.0, 'trend_sma': 260.567, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",neutral,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 20, 'current_price': 259.72}"
COIN,2025-11-18T12:50:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.004934427836606242), np.float64(0.004934427836606242))",0.1261682242990691,rsi_rsi_trend,1.0.0,"{'rsi': 37.38317757009309, 'rsi_prev': 44.042838018741655, 'volume_ratio': 0.8016385694028675, 'volume_confirmed': 0.0, 'trend_bullish': 0.0, 'trend_bearish': 1.0, 'trend_sma': 260.44649999999996, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",trending,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 20, 'current_price': 259.21}"
COIN,2025-11-18T12:55:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.004959871988545727), np.float64(0.004959871988545727))",0.14148527528809282,rsi_rsi_trend,1.0.0,"{'rsi': 35.85147247119072, 'rsi_prev': 37.38317757009309, 'volume_ratio': 0.721860522386911, 'volume_confirmed': 0.0, 'trend_bullish': 0.0, 'trend_bearish': 1.0, 'trend_sma': 260.31149999999997, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",trending,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 20, 'current_price': 258.8}"
COIN,2025-11-18T13:00:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.005932669914946264), np.float64(0.005932669914946264))",0.013888888888888572,rsi_rsi_trend,1.0.0,"{'rsi': 48.61111111111114, 'rsi_prev': 35.85147247119072, 'volume_ratio': 14.67329076181276, 'volume_confirmed': 1.0, 'trend_bullish': 1.0, 'trend_bearish': 0.0, 'trend_sma': 260.27049999999997, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",neutral,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 20, 'current_price': 260.55}"
COIN,2025-11-18T13:05:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.005924766682800054), np.float64(0.005924766682800054))",0.03880266075388,rsi_rsi_trend,1.0.0,"{'rsi': 46.119733924612, 'rsi_prev': 48.61111111111114, 'volume_ratio': 0.474741376832128, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 0.0, 'trend_sma': 260.2205, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",neutral,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 20, 'current_price': 260.5}"
COIN,2025-11-18T13:10:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.005847037151877083), np.float64(0.005847037151877083))",-0.047591069330200284,rsi_rsi_trend,1.0.0,"{'rsi': 54.75910693302003, 'rsi_prev': 46.119733924612, 'volume_ratio': 0.628313008864117, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 0.0, 'trend_sma': 260.23400000000004, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",neutral,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 20, 'current_price': 261.0}"
COIN,2025-11-18T13:15:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.005922599755734204), np.float64(0.005922599755734204))",-0.07317073170731732,rsi_rsi_trend,1.0.0,"{'rsi': 57.31707317073173, 'rsi_prev': 54.75910693302003, 'volume_ratio': 0.5845793621484863, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 0.0, 'trend_sma': 260.283, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",neutral,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 20, 'current_price': 261.59}"
COIN,2025-11-18T13:20:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.006083684622300204), np.float64(0.006083684622300204))",-0.09699769053117926,rsi_rsi_trend,1.0.0,"{'rsi': 59.699769053117926, 'rsi_prev': 57.31707317073173, 'volume_ratio': 0.613437938824104, 'volume_confirmed': 0.0, 'trend_bullish': 1.0, 'trend_bearish': 0.0, 'trend_sma': 260.262, 'is_oversold': 0.0, 'is_overbought': 0.0, 'in_long': 0.0, 'in_short': 0.0}",neutral,1.0,0.0,"{'rsi_period': 14, 'volume_mult': 1.0, 'trend_filter_period': 20, 'current_price': 260.68}"
