symbol,timestamp,signal_type,direction,probability,expected_return,confidence_interval,score,model_id,model_version,feature_contributions,regime,data_quality,staleness_seconds,metadata
AMD,2025-11-18T18:45:00+00:00,entry,long,0.5460804064107848,0.020015462771304768,"(np.float64(0.0031327600416467156), np.float64(0.03689816550096282))",0.20061851085219073,trend_trend_fast,1.0.0,"{'price': 232.34, 'fast_sma': 233.5893, 'slow_sma': 231.26945333333333, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.010030925542609537, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.010030925542609537}"
AMD,2025-11-18T19:00:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.016834588620202942), np.float64(0.016834588620202942))",0.0,trend_trend_fast,1.0.0,"{'price': 232.6801, 'fast_sma': 233.30331999999999, 'slow_sma': 231.57146, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.007478728164515538, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.007478728164515538}"
AMD,2025-11-18T19:15:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.016916821924361523), np.float64(0.016916821924361523))",0.0,trend_trend_fast,1.0.0,"{'price': 231.565, 'fast_sma': 232.70801999999998, 'slow_sma': 231.86012666666664, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0036569174075898963, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.0036569174075898963}"
AMD,2025-11-18T19:30:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.012720388103935542), np.float64(0.012720388103935542))",0.0,trend_trend_fast,1.0.0,"{'price': 232.2, 'fast_sma': 232.46502, 'slow_sma': 232.19566, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.001160056135416166, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.001160056135416166}"
AMD,2025-11-18T19:45:00+00:00,exit,neutral,0.5,0.0,"(np.float64(-0.009854965339691154), np.float64(0.009854965339691154))",0.0,trend_trend_fast,1.0.0,"{'price': 232.995, 'fast_sma': 232.35602, 'slow_sma': 232.43977333333333, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 1.0, 'trend_strength': 0.0003603227284739537, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 0.0}",downtrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.0003603227284739537}"
AMD,2025-11-18T20:00:00+00:00,entry,short,0.5218683264481282,-0.015359293547716951,"(np.float64(-0.025387172727541873), np.float64(-0.005331414367892027))",-0.014371741908678067,trend_trend_fast,1.0.0,"{'price': 232.33, 'fast_sma': 232.35402, 'slow_sma': 232.52110666666667, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0007185870954339033, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.0007185870954339033}"
AMD,2025-11-18T20:15:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.009958142084227182), np.float64(0.009958142084227182))",0.0,trend_trend_fast,1.0.0,"{'price': 231.8, 'fast_sma': 232.17799999999997, 'slow_sma': 232.4911066666667, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0013467468547760074, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.0013467468547760074}"
AMD,2025-11-18T20:30:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.009770235269425631), np.float64(0.009770235269425631))",0.0,trend_trend_fast,1.0.0,"{'price': 231.425, 'fast_sma': 232.15, 'slow_sma': 232.49544, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0014857925815663156, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.0014857925815663156}"
AMD,2025-11-18T20:45:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.010139268382047806), np.float64(0.010139268382047806))",0.0,trend_trend_fast,1.0.0,"{'price': 230.22, 'fast_sma': 231.754, 'slow_sma': 232.48210666666668, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.003131882608542648, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.003131882608542648}"
AMD,2025-11-18T21:00:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.009338944469495068), np.float64(0.009338944469495068))",0.0,trend_trend_fast,1.0.0,"{'price': 229.58, 'fast_sma': 231.071, 'slow_sma': 232.40944, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.005758974334261084, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.005758974334261084}"
