symbol,timestamp,signal_type,direction,probability,expected_return,confidence_interval,score,model_id,model_version,feature_contributions,regime,data_quality,staleness_seconds,metadata
COIN,2025-11-18T12:15:00+00:00,entry,short,0.5267099688776007,-0.016290378630307824,"(np.float64(-0.020965483053162044), np.float64(-0.011615274207453605))",-0.051615145212312995,trend_trend_fast,1.0.0,"{'price': 260.5, 'fast_sma': 260.23199999999997, 'slow_sma': 260.9053333333333, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0025807572606156497, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.0025807572606156497}"
COIN,2025-11-18T12:20:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.004768284509289243), np.float64(0.004768284509289243))",0.0,trend_trend_fast,1.0.0,"{'price': 259.85, 'fast_sma': 259.962, 'slow_sma': 260.7506666666667, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0030246007680390704, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.0030246007680390704}"
COIN,2025-11-18T12:25:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.004762199030056216), np.float64(0.004762199030056216))",0.0,trend_trend_fast,1.0.0,"{'price': 259.9, 'fast_sma': 259.904, 'slow_sma': 260.636, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0028085145566998713, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.0028085145566998713}"
COIN,2025-11-18T12:30:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.00476046418879333), np.float64(0.00476046418879333))",0.0,trend_trend_fast,1.0.0,"{'price': 259.92, 'fast_sma': 259.83399999999995, 'slow_sma': 260.53066666666666, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0026740294168826517, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.0026740294168826517}"
COIN,2025-11-18T12:35:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.004503741949450962), np.float64(0.004503741949450962))",0.0,trend_trend_fast,1.0.0,"{'price': 259.89, 'fast_sma': 260.01200000000006, 'slow_sma': 260.432, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0016127050439268564, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.0016127050439268564}"
COIN,2025-11-18T12:40:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.004762564622553746), np.float64(0.004762564622553746))",0.0,trend_trend_fast,1.0.0,"{'price': 260.65, 'fast_sma': 260.042, 'slow_sma': 260.37533333333334, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0012802031938510736, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.0012802031938510736}"
COIN,2025-11-18T12:45:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.004943397106390112), np.float64(0.004943397106390112))",0.0,trend_trend_fast,1.0.0,"{'price': 259.72, 'fast_sma': 260.01599999999996, 'slow_sma': 260.30800000000005, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0011217480830404245, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.0011217480830404245}"
COIN,2025-11-18T12:50:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.004934427836606242), np.float64(0.004934427836606242))",0.0,trend_trend_fast,1.0.0,"{'price': 259.21, 'fast_sma': 259.878, 'slow_sma': 260.2146666666667, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0012938035775591748, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.0012938035775591748}"
COIN,2025-11-18T12:55:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.004959871988545727), np.float64(0.004959871988545727))",0.0,trend_trend_fast,1.0.0,"{'price': 258.8, 'fast_sma': 259.654, 'slow_sma': 260.0613333333333, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0015662971811777478, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.0015662971811777478}"
COIN,2025-11-18T13:00:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.005932669914946264), np.float64(0.005932669914946264))",0.0,trend_trend_fast,1.0.0,"{'price': 260.55, 'fast_sma': 259.78599999999994, 'slow_sma': 260.03066666666666, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0009409146613478295, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.0009409146613478295}"
