symbol,timestamp,signal_type,direction,probability,expected_return,confidence_interval,score,model_id,model_version,feature_contributions,regime,data_quality,staleness_seconds,metadata
CRWD,2025-11-18T21:00:00+00:00,entry,short,0.5320807361923341,-0.017323218498525788,"(np.float64(-0.024797762240213676), np.float64(-0.0098486747568379))",-0.0929287399410316,trend_trend_fast,1.0.0,"{'price': 513.39, 'fast_sma': 514.896, 'slow_sma': 517.2995999999999, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.00464643699705158, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.00464643699705158}"
CRWD,2025-11-18T21:15:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.007182421612220413), np.float64(0.007182421612220413))",0.0,trend_trend_fast,1.0.0,"{'price': 512.9, 'fast_sma': 514.332, 'slow_sma': 516.8226, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.004819061705118879, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.004819061705118879}"
CRWD,2025-11-18T21:30:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.0071096857976680125), np.float64(0.0071096857976680125))",0.0,trend_trend_fast,1.0.0,"{'price': 512.0, 'fast_sma': 513.682, 'slow_sma': 516.2359333333334, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.004947221160763886, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.004947221160763886}"
CRWD,2025-11-18T21:45:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.00708763215866272), np.float64(0.00708763215866272))",0.0,trend_trend_fast,1.0.0,"{'price': 511.7, 'fast_sma': 512.7339999999999, 'slow_sma': 515.6166000000001, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.005590588045458851, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.005590588045458851}"
CRWD,2025-11-18T22:00:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.006973202961033942), np.float64(0.006973202961033942))",0.0,trend_trend_fast,1.0.0,"{'price': 511.71, 'fast_sma': 512.3399999999999, 'slow_sma': 515.1166000000001, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.005390235919401828, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.005390235919401828}"
CRWD,2025-11-18T22:15:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.006609834979250105), np.float64(0.006609834979250105))",0.0,trend_trend_fast,1.0.0,"{'price': 511.4, 'fast_sma': 511.942, 'slow_sma': 514.5796, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.005125737592395851, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.005125737592395851}"
CRWD,2025-11-18T22:30:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.004340438306951107), np.float64(0.004340438306951107))",0.0,trend_trend_fast,1.0.0,"{'price': 511.97, 'fast_sma': 511.756, 'slow_sma': 514.2176000000001, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.004787078466392611, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.004787078466392611}"
CRWD,2025-11-18T22:45:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.004233420218502221), np.float64(0.004233420218502221))",0.0,trend_trend_fast,1.0.0,"{'price': 511.98, 'fast_sma': 511.75200000000007, 'slow_sma': 513.8259999999999, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.004036385858247426, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.004036385858247426}"
CRWD,2025-11-18T23:00:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.004217080486141563), np.float64(0.004217080486141563))",0.0,trend_trend_fast,1.0.0,"{'price': 512.01, 'fast_sma': 511.81399999999996, 'slow_sma': 513.5883333333334, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0034547773346358503, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.0034547773346358503}"
CRWD,2025-11-18T23:15:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.00406859302123635), np.float64(0.00406859302123635))",0.0,trend_trend_fast,1.0.0,"{'price': 512.16, 'fast_sma': 511.904, 'slow_sma': 513.284, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0026885700703703904, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.0026885700703703904}"
