symbol,timestamp,signal_type,direction,probability,expected_return,confidence_interval,score,model_id,model_version,feature_contributions,regime,data_quality,staleness_seconds,metadata
DKNG,2025-11-18T20:45:00+00:00,entry,long,0.5284401212217518,0.016623100234952257,"(np.float64(0.0075200037105226936), np.float64(0.02572619675938182))",0.06492400939809037,trend_trend_fast,1.0.0,"{'price': 29.38, 'fast_sma': 29.463, 'slow_sma': 29.36766666666667, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0032462004699045184, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.0032462004699045184}"
DKNG,2025-11-18T21:00:00+00:00,exit,neutral,0.5,0.0,"(np.float64(-0.010384779861827027), np.float64(0.010384779861827027))",0.0,trend_trend_fast,1.0.0,"{'price': 29.0, 'fast_sma': 29.352999999999998, 'slow_sma': 29.380000000000003, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 1.0, 'trend_strength': 0.0009189925119130216, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 0.0}",downtrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.0009189925119130216}"
DKNG,2025-11-18T21:15:00+00:00,entry,short,0.5262804068996021,-0.016207770557615783,"(np.float64(-0.027941580865908467), np.float64(-0.004473960249323099))",-0.048310822304631365,trend_trend_fast,1.0.0,"{'price': 29.37, 'fast_sma': 29.322000000000003, 'slow_sma': 29.393000000000004, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0024155411152315684, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.0024155411152315684}"
DKNG,2025-11-18T21:30:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.01172050416014343), np.float64(0.01172050416014343))",0.0,trend_trend_fast,1.0.0,"{'price': 29.37, 'fast_sma': 29.297000000000004, 'slow_sma': 29.398000000000003, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0034356078644805456, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.0034356078644805456}"
DKNG,2025-11-18T22:00:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.012033958806205182), np.float64(0.012033958806205182))",0.0,trend_trend_fast,1.0.0,"{'price': 29.15, 'fast_sma': 29.254, 'slow_sma': 29.373333333333335, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0040626418520199785, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.0040626418520199785}"
DKNG,2025-11-18T22:15:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.012035092289725043), np.float64(0.012035092289725043))",0.0,trend_trend_fast,1.0.0,"{'price': 29.15, 'fast_sma': 29.208000000000006, 'slow_sma': 29.354333333333333, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.00498506750848804, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.00498506750848804}"
DKNG,2025-11-18T23:15:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.013380153478217277), np.float64(0.013380153478217277))",0.0,trend_trend_fast,1.0.0,"{'price': 29.562, 'fast_sma': 29.3204, 'slow_sma': 29.368466666666666, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0016366760720682436, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.0016366760720682436}"
DKNG,2025-11-18T23:30:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.012363257219606906), np.float64(0.012363257219606906))",0.0,trend_trend_fast,1.0.0,"{'price': 29.5, 'fast_sma': 29.3464, 'slow_sma': 29.3808, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0011708326526167273, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.0011708326526167273}"
DKNG,2025-11-18T23:45:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.012436452581794214), np.float64(0.012436452581794214))",0.0,trend_trend_fast,1.0.0,"{'price': 29.37, 'fast_sma': 29.3464, 'slow_sma': 29.380133333333333, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0011481681499063106, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.0011481681499063106}"
DKNG,2025-11-19T09:15:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.01200315779609907), np.float64(0.01200315779609907))",0.0,trend_trend_fast,1.0.0,"{'price': 29.27, 'fast_sma': 29.3704, 'slow_sma': 29.372133333333334, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 5.9012851183231405e-05, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 5.9012851183231405e-05}"
