symbol,timestamp,signal_type,direction,probability,expected_return,confidence_interval,score,model_id,model_version,feature_contributions,regime,data_quality,staleness_seconds,metadata
NET,2025-11-18T20:30:00+00:00,entry,long,0.5262562908565088,0.016203132857020915,"(np.float64(0.006365495510626708), np.float64(0.026040770203415123))",0.04812531428083665,trend_trend_fast,1.0.0,"{'price': 198.115, 'fast_sma': 199.2788, 'slow_sma': 198.80043333333333, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0024062657140418325, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.0024062657140418325}"
NET,2025-11-18T20:45:00+00:00,exit,neutral,0.5,0.0,"(np.float64(-0.010534238108267483), np.float64(0.010534238108267483))",0.0,trend_trend_fast,1.0.0,"{'price': 196.33, 'fast_sma': 198.638, 'slow_sma': 198.75343333333333, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 1.0, 'trend_strength': 0.0005807866128266215, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 0.0}",downtrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.0005807866128266215}"
NET,2025-11-18T21:00:00+00:00,entry,short,0.5305529322765831,-0.01702941005318906,"(np.float64(-0.026678355976589713), np.float64(-0.007380464129788407))",-0.08117640212756232,trend_trend_fast,1.0.0,"{'price': 196.53, 'fast_sma': 197.96200000000002, 'slow_sma': 198.76876666666666, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.004058820106378116, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.004058820106378116}"
NET,2025-11-18T21:15:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.00951028454312383), np.float64(0.00951028454312383))",0.0,trend_trend_fast,1.0.0,"{'price': 196.3, 'fast_sma': 197.262, 'slow_sma': 198.65543333333335, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.007014322789728286, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.007014322789728286}"
NET,2025-11-18T21:30:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.009603949945933454), np.float64(0.009603949945933454))",0.0,trend_trend_fast,1.0.0,"{'price': 197.0, 'fast_sma': 196.85500000000002, 'slow_sma': 198.52210000000002, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.00839755372323789, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.00839755372323789}"
NET,2025-11-18T21:45:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.008993342334754925), np.float64(0.008993342334754925))",0.0,trend_trend_fast,1.0.0,"{'price': 196.5, 'fast_sma': 196.532, 'slow_sma': 198.27243333333337, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.008777989476768866, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.008777989476768866}"
NET,2025-11-18T22:15:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.009170706208621883), np.float64(0.009170706208621883))",0.0,trend_trend_fast,1.0.0,"{'price': 195.62, 'fast_sma': 196.39000000000001, 'slow_sma': 198.0802666666667, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.008533241069950126, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.008533241069950126}"
NET,2025-11-18T22:45:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.009039371941345218), np.float64(0.009039371941345218))",0.0,trend_trend_fast,1.0.0,"{'price': 195.75, 'fast_sma': 196.234, 'slow_sma': 197.87626666666668, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.008299462559768014, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.008299462559768014}"
NET,2025-11-18T23:00:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.008079890307301538), np.float64(0.008079890307301538))",0.0,trend_trend_fast,1.0.0,"{'price': 196.0, 'fast_sma': 196.17400000000004, 'slow_sma': 197.6762666666667, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.007599630911685857, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.007599630911685857}"
NET,2025-11-19T10:00:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.008933688038821901), np.float64(0.008933688038821901))",0.0,trend_trend_fast,1.0.0,"{'price': 197.87, 'fast_sma': 196.348, 'slow_sma': 197.57226666666665, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.006196551202867728, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.006196551202867728}"
NET,2025-11-19T10:15:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.008838344937230241), np.float64(0.008838344937230241))",0.0,trend_trend_fast,1.0.0,"{'price': 198.98, 'fast_sma': 196.844, 'slow_sma': 197.55159999999998, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.003581848995401633, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.003581848995401633}"
NET,2025-11-19T10:45:00+00:00,exit,neutral,0.5,0.0,"(np.float64(-0.00790598290849956), np.float64(0.00790598290849956))",0.0,trend_trend_fast,1.0.0,"{'price': 198.98, 'fast_sma': 197.516, 'slow_sma': 197.51466666666664, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 1.0, 'bearish_crossover': 0.0, 'trend_strength': 6.750553545470921e-06, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 6.750553545470921e-06}"
NET,2025-11-19T11:15:00+00:00,entry,long,0.5297258280694528,0.016870351551817837,"(np.float64(0.008978680797926453), np.float64(0.02476202230570922))",0.07481406207271346,trend_trend_fast,1.0.0,"{'price': 199.2, 'fast_sma': 198.206, 'slow_sma': 197.46733333333333, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0037407031036356727, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.0037407031036356727}"
NET,2025-11-19T11:30:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.007895881185763752), np.float64(0.007895881185763752))",0.0,trend_trend_fast,1.0.0,"{'price': 199.0, 'fast_sma': 198.80599999999998, 'slow_sma': 197.41400000000002, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.007051171649426927, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.007051171649426927}"
NET,2025-11-19T12:00:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.008098266316896405), np.float64(0.008098266316896405))",0.0,trend_trend_fast,1.0.0,"{'price': 198.06, 'fast_sma': 198.844, 'slow_sma': 197.349, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.007575412087216072, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.007575412087216072}"
NET,2025-11-19T12:15:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.008250537207702198), np.float64(0.008250537207702198))",0.0,trend_trend_fast,1.0.0,"{'price': 198.7, 'fast_sma': 198.788, 'slow_sma': 197.388, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0070926297444627116, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.0070926297444627116}"
NET,2025-11-19T12:45:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.008380191600438713), np.float64(0.008380191600438713))",0.0,trend_trend_fast,1.0.0,"{'price': 199.37, 'fast_sma': 198.86599999999999, 'slow_sma': 197.59066666666666, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.00645442092406518, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.00645442092406518}"
NET,2025-11-19T13:00:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.008337654747388026), np.float64(0.008337654747388026))",0.0,trend_trend_fast,1.0.0,"{'price': 199.2, 'fast_sma': 198.86599999999999, 'slow_sma': 197.76866666666666, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.005548570215032333, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.005548570215032333}"
NET,2025-11-19T13:15:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.008338326875118821), np.float64(0.008338326875118821))",0.0,trend_trend_fast,1.0.0,"{'price': 199.0775, 'fast_sma': 198.8815, 'slow_sma': 197.95383333333334, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.004686277861083702, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.004686277861083702}"
NET,2025-11-19T13:30:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.008164116871441082), np.float64(0.008164116871441082))",0.0,trend_trend_fast,1.0.0,"{'price': 198.95, 'fast_sma': 199.05949999999999, 'slow_sma': 198.0838333333333, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.004925523957449076, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.004925523957449076}"
NET,2025-11-19T13:45:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.008129535383995317), np.float64(0.008129535383995317))",0.0,trend_trend_fast,1.0.0,"{'price': 198.09, 'fast_sma': 198.93749999999997, 'slow_sma': 198.18983333333333, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0037724773975118774, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 5, 'slow_period': 15, 'trend_strength': 0.0037724773975118774}"
