symbol,timestamp,signal_type,direction,probability,expected_return,confidence_interval,score,model_id,model_version,feature_contributions,regime,data_quality,staleness_seconds,metadata
AMD,2025-11-18T18:45:00+00:00,entry,short,0.5291810513421942,-0.01676558679657579,"(np.float64(-0.033648289526233846), np.float64(0.00011711593308226173))",-0.07062347186303161,trend_trend_quick,1.0.0,"{'price': 232.34, 'fast_sma': 232.60465, 'slow_sma': 233.42892806666669, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0035311735931515802, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.0035311735931515802}"
AMD,2025-11-18T19:00:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.016834588620202942), np.float64(0.016834588620202942))",0.0,trend_trend_quick,1.0.0,"{'price': 232.6801, 'fast_sma': 232.64766, 'slow_sma': 233.2239314, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.002470893087775108, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.002470893087775108}"
AMD,2025-11-18T19:15:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.016916821924361523), np.float64(0.016916821924361523))",0.0,trend_trend_quick,1.0.0,"{'price': 231.565, 'fast_sma': 232.66816, 'slow_sma': 232.97176473333334, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0013031825280666934, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.0013031825280666934}"
AMD,2025-11-18T19:30:00+00:00,exit,neutral,0.5,0.0,"(np.float64(-0.012720388103935542), np.float64(0.012720388103935542))",0.0,trend_trend_quick,1.0.0,"{'price': 232.2, 'fast_sma': 232.84616, 'slow_sma': 232.7870980666667, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 1.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0002537165239131786, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.0002537165239131786}"
AMD,2025-11-18T19:45:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.009854965339691154), np.float64(0.009854965339691154))",0.0,trend_trend_quick,1.0.0,"{'price': 232.995, 'fast_sma': 233.07865999999999, 'slow_sma': 232.63326473333333, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0019145811635202126, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.0019145811635202126}"
AMD,2025-11-18T20:00:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.010027879179824924), np.float64(0.010027879179824924))",0.0,trend_trend_quick,1.0.0,"{'price': 232.33, 'fast_sma': 232.97166, 'slow_sma': 232.43626473333333, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.002303406773813564, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.002303406773813564}"
AMD,2025-11-18T20:15:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.009958142084227182), np.float64(0.009958142084227182))",0.0,trend_trend_quick,1.0.0,"{'price': 231.8, 'fast_sma': 232.74066000000002, 'slow_sma': 232.25126473333333, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.002107180200842416, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.002107180200842416}"
AMD,2025-11-18T20:30:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.009770235269425631), np.float64(0.009770235269425631))",0.0,trend_trend_quick,1.0.0,"{'price': 231.425, 'fast_sma': 232.42900999999998, 'slow_sma': 232.0440980666667, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0016587878620498212, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.0016587878620498212}"
AMD,2025-11-18T20:45:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.010139268382047806), np.float64(0.010139268382047806))",0.0,trend_trend_quick,1.0.0,"{'price': 230.22, 'fast_sma': 232.10951, 'slow_sma': 231.8154314, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0012685894041823739, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.0012685894041823739}"
AMD,2025-11-18T21:00:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.009338944469495068), np.float64(0.009338944469495068))",0.0,trend_trend_quick,1.0.0,"{'price': 229.58, 'fast_sma': 231.71350999999999, 'slow_sma': 231.58476473333334, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0005559315044531945, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.0005559315044531945}"
