symbol,timestamp,signal_type,direction,probability,expected_return,confidence_interval,score,model_id,model_version,feature_contributions,regime,data_quality,staleness_seconds,metadata
DKNG,2025-11-18T20:45:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.009103096524429564), np.float64(0.009103096524429564))",0.0,trend_trend_quick,1.0.0,"{'price': 29.38, 'fast_sma': 29.427500000000002, 'slow_sma': 29.001956666666665, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.01467291804564464, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.01467291804564464}"
DKNG,2025-11-18T21:00:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.010384779861827027), np.float64(0.010384779861827027))",0.0,trend_trend_quick,1.0.0,"{'price': 29.0, 'fast_sma': 29.392500000000002, 'slow_sma': 29.015623333333334, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.012988749624196752, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.012988749624196752}"
DKNG,2025-11-18T21:15:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.011733810308292684), np.float64(0.011733810308292684))",0.0,trend_trend_quick,1.0.0,"{'price': 29.37, 'fast_sma': 29.398000000000003, 'slow_sma': 29.044289999999997, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.012178297352078728, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.012178297352078728}"
DKNG,2025-11-18T21:30:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.01172050416014343), np.float64(0.01172050416014343))",0.0,trend_trend_quick,1.0.0,"{'price': 29.37, 'fast_sma': 29.397000000000002, 'slow_sma': 29.073289999999997, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.01113427479311786, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.01113427479311786}"
DKNG,2025-11-18T22:00:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.012033958806205182), np.float64(0.012033958806205182))",0.0,trend_trend_quick,1.0.0,"{'price': 29.15, 'fast_sma': 29.373, 'slow_sma': 29.095956666666666, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.009521712467035858, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.009521712467035858}"
DKNG,2025-11-18T22:15:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.012035092289725043), np.float64(0.012035092289725043))",0.0,trend_trend_quick,1.0.0,"{'price': 29.15, 'fast_sma': 29.335499999999996, 'slow_sma': 29.10695666666667, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.007851845727143831, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.007851845727143831}"
DKNG,2025-11-18T23:15:00+00:00,entry,long,0.5378328318874934,0.01842939074759489,"(np.float64(0.005049237269377612), np.float64(0.03180954422581217))",0.13717562990379556,trend_trend_quick,1.0.0,"{'price': 29.562, 'fast_sma': 29.3367, 'slow_sma': 29.13685666666667, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.006858781495189778, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.006858781495189778}"
DKNG,2025-11-18T23:30:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.012363257219606906), np.float64(0.012363257219606906))",0.0,trend_trend_quick,1.0.0,"{'price': 29.5, 'fast_sma': 29.3342, 'slow_sma': 29.162856666666666, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.005875396066023233, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.005875396066023233}"
DKNG,2025-11-18T23:45:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.012436452581794214), np.float64(0.012436452581794214))",0.0,trend_trend_quick,1.0.0,"{'price': 29.37, 'fast_sma': 29.3217, 'slow_sma': 29.189523333333334, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.004528222854387122, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.004528222854387122}"
DKNG,2025-11-19T09:15:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.01200315779609907), np.float64(0.01200315779609907))",0.0,trend_trend_quick,1.0.0,"{'price': 29.27, 'fast_sma': 29.312199999999997, 'slow_sma': 29.21806666666667, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.00322175092579688, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 10, 'slow_period': 30, 'trend_strength': 0.00322175092579688}"
