symbol,timestamp,signal_type,direction,probability,expected_return,confidence_interval,score,model_id,model_version,feature_contributions,regime,data_quality,staleness_seconds,metadata
COIN,2025-11-18T18:05:00+00:00,entry,long,0.554689010780288,0.02167096361159384,"(np.float64(0.01599735795641846), np.float64(0.02734456926676922))",0.26683854446375366,trend_trend_slow,1.0.0,"{'price': 267.89, 'fast_sma': 267.03014333333334, 'slow_sma': 263.514354, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.013341927223187682, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 30, 'slow_period': 100, 'trend_strength': 0.013341927223187682}"
COIN,2025-11-18T18:10:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.005120401844438593), np.float64(0.005120401844438593))",0.0,trend_trend_slow,1.0.0,"{'price': 267.755, 'fast_sma': 267.16231, 'slow_sma': 263.563804, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.013653263253098237, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 30, 'slow_period': 100, 'trend_strength': 0.013653263253098237}"
COIN,2025-11-18T18:15:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.0049405951539104095), np.float64(0.0049405951539104095))",0.0,trend_trend_slow,1.0.0,"{'price': 266.9869, 'fast_sma': 267.24953999999997, 'slow_sma': 263.603973, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.013829711891330148, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 30, 'slow_period': 100, 'trend_strength': 0.013829711891330148}"
COIN,2025-11-18T18:20:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.004778826325303336), np.float64(0.004778826325303336))",0.0,trend_trend_slow,1.0.0,"{'price': 267.0, 'fast_sma': 267.28837333333337, 'slow_sma': 263.642473, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.013828956661825018, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 30, 'slow_period': 100, 'trend_strength': 0.013828956661825018}"
COIN,2025-11-18T18:25:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.005277900672865447), np.float64(0.005277900672865447))",0.0,trend_trend_slow,1.0.0,"{'price': 265.54, 'fast_sma': 267.31737333333336, 'slow_sma': 263.667373, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.01384320058945392, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 30, 'slow_period': 100, 'trend_strength': 0.01384320058945392}"
COIN,2025-11-18T18:30:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.005978393202048119), np.float64(0.005978393202048119))",0.0,trend_trend_slow,1.0.0,"{'price': 267.1, 'fast_sma': 267.41504, 'slow_sma': 263.709373, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.014052086802390402, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 30, 'slow_period': 100, 'trend_strength': 0.014052086802390402}"
COIN,2025-11-18T18:35:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.005989311984443559), np.float64(0.005989311984443559))",0.0,trend_trend_slow,1.0.0,"{'price': 266.73, 'fast_sma': 267.4172066666667, 'slow_sma': 263.744873, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.013923810631445726, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 30, 'slow_period': 100, 'trend_strength': 0.013923810631445726}"
COIN,2025-11-18T18:40:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.006043228442849594), np.float64(0.006043228442849594))",0.0,trend_trend_slow,1.0.0,"{'price': 267.201083, 'fast_sma': 267.3960761, 'slow_sma': 263.79468383, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.013652254919287543, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 30, 'slow_period': 100, 'trend_strength': 0.013652254919287543}"
COIN,2025-11-18T18:45:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.006008586253625428), np.float64(0.006008586253625428))",0.0,trend_trend_slow,1.0.0,"{'price': 267.285, 'fast_sma': 267.38307610000004, 'slow_sma': 263.84183383, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.013421837691902064, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 30, 'slow_period': 100, 'trend_strength': 0.013421837691902064}"
COIN,2025-11-18T18:50:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.005758004463506187), np.float64(0.005758004463506187))",0.0,trend_trend_slow,1.0.0,"{'price': 267.251, 'fast_sma': 267.35710943333333, 'slow_sma': 263.88704383, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.013149814227214663, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 30, 'slow_period': 100, 'trend_strength': 0.013149814227214663}"
