symbol,timestamp,signal_type,direction,probability,expected_return,confidence_interval,score,model_id,model_version,feature_contributions,regime,data_quality,staleness_seconds,metadata
NET,2025-11-18T20:25:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.005660520266518931), np.float64(0.005660520266518931))",0.0,trend_trend_slow,1.0.0,"{'price': 199.035, 'fast_sma': 199.3455, 'slow_sma': 196.82974899999996, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.012781355525683383, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 30, 'slow_period': 100, 'trend_strength': 0.012781355525683383}"
NET,2025-11-18T20:30:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.005877476553667896), np.float64(0.005877476553667896))",0.0,trend_trend_slow,1.0.0,"{'price': 198.1, 'fast_sma': 199.3081666666667, 'slow_sma': 196.87104900000003, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.012379258804409913, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 30, 'slow_period': 100, 'trend_strength': 0.012379258804409913}"
NET,2025-11-18T20:35:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.006114936284679809), np.float64(0.006114936284679809))",0.0,trend_trend_slow,1.0.0,"{'price': 198.89, 'fast_sma': 199.29483333333334, 'slow_sma': 196.909849, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.012112062171828364, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 30, 'slow_period': 100, 'trend_strength': 0.012112062171828364}"
NET,2025-11-18T20:40:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.006323742321216684), np.float64(0.006323742321216684))",0.0,trend_trend_slow,1.0.0,"{'price': 198.115, 'fast_sma': 199.22383333333332, 'slow_sma': 196.94999900000002, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.011545236582272323, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 30, 'slow_period': 100, 'trend_strength': 0.011545236582272323}"
NET,2025-11-18T20:45:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.006194298209509951), np.float64(0.006194298209509951))",0.0,trend_trend_slow,1.0.0,"{'price': 197.72, 'fast_sma': 199.1565, 'slow_sma': 196.97809900000001, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.011059102565508967, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 30, 'slow_period': 100, 'trend_strength': 0.011059102565508967}"
NET,2025-11-18T20:50:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.0061689077746286845), np.float64(0.0061689077746286845))",0.0,trend_trend_slow,1.0.0,"{'price': 197.73, 'fast_sma': 199.10816666666668, 'slow_sma': 197.00939899999997, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.010653134709916572, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 30, 'slow_period': 100, 'trend_strength': 0.010653134709916572}"
NET,2025-11-18T20:55:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.006848201661004461), np.float64(0.006848201661004461))",0.0,trend_trend_slow,1.0.0,"{'price': 196.33, 'fast_sma': 199.03575, 'slow_sma': 197.02229899999998, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.010219406687565005, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 30, 'slow_period': 100, 'trend_strength': 0.010219406687565005}"
NET,2025-11-18T21:00:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.007432311700699627), np.float64(0.007432311700699627))",0.0,trend_trend_slow,1.0.0,"{'price': 197.475, 'fast_sma': 198.97825, 'slow_sma': 197.04454899999996, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.009813521915798047, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 30, 'slow_period': 100, 'trend_strength': 0.009813521915798047}"
NET,2025-11-18T21:05:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.0076344750485500225), np.float64(0.0076344750485500225))",0.0,trend_trend_slow,1.0.0,"{'price': 196.53, 'fast_sma': 198.90825, 'slow_sma': 197.049849, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.009431121157570716, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 30, 'slow_period': 100, 'trend_strength': 0.009431121157570716}"
NET,2025-11-18T21:15:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.007632832824688385), np.float64(0.007632832824688385))",0.0,trend_trend_slow,1.0.0,"{'price': 196.58, 'fast_sma': 198.83391666666665, 'slow_sma': 197.063649, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.008983227884238837, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 30, 'slow_period': 100, 'trend_strength': 0.008983227884238837}"
NET,2025-11-18T21:20:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.007036297561345427), np.float64(0.007036297561345427))",0.0,trend_trend_slow,1.0.0,"{'price': 196.3, 'fast_sma': 198.74858333333336, 'slow_sma': 197.075349, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.008490327896531437, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 30, 'slow_period': 100, 'trend_strength': 0.008490327896531437}"
NET,2025-11-18T21:35:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.007253688694878476), np.float64(0.007253688694878476))",0.0,trend_trend_slow,1.0.0,"{'price': 197.0, 'fast_sma': 198.66776666666664, 'slow_sma': 197.08044899999996, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.00805416100237664, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 30, 'slow_period': 100, 'trend_strength': 0.00805416100237664}"
NET,2025-11-18T21:45:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.00710374016300635), np.float64(0.00710374016300635))",0.0,trend_trend_slow,1.0.0,"{'price': 196.5, 'fast_sma': 198.58443333333332, 'slow_sma': 197.09384899999998, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.007562815079700155, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 30, 'slow_period': 100, 'trend_strength': 0.007562815079700155}"
NET,2025-11-18T21:55:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.006726152190946875), np.float64(0.006726152190946875))",0.0,trend_trend_slow,1.0.0,"{'price': 196.5, 'fast_sma': 198.49343333333334, 'slow_sma': 197.10044899999997, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.007067382851742635, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 30, 'slow_period': 100, 'trend_strength': 0.007067382851742635}"
NET,2025-11-18T22:20:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.006263013188191181), np.float64(0.006263013188191181))",0.0,trend_trend_slow,1.0.0,"{'price': 196.0, 'fast_sma': 198.3671333333333, 'slow_sma': 197.10544899999996, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0064010626785530175, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 30, 'slow_period': 100, 'trend_strength': 0.0064010626785530175}"
NET,2025-11-18T22:25:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.006257333545458595), np.float64(0.006257333545458595))",0.0,trend_trend_slow,1.0.0,"{'price': 195.62, 'fast_sma': 198.24013333333335, 'slow_sma': 197.11064900000002, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.005730204527576403, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 30, 'slow_period': 100, 'trend_strength': 0.005730204527576403}"
