symbol,timestamp,signal_type,direction,probability,expected_return,confidence_interval,score,model_id,model_version,feature_contributions,regime,data_quality,staleness_seconds,metadata
COIN,2025-11-18T13:55:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.0054134821503877386), np.float64(0.0054134821503877386))",0.0,trend_trend_std,1.0.0,"{'price': 260.45, 'fast_sma': 260.33849999999995, 'slow_sma': 261.2056, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0033196072365984895, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 0.0}",downtrend,1.0,0.0,"{'fast_period': 20, 'slow_period': 50, 'trend_strength': 0.0033196072365984895}"
COIN,2025-11-18T14:00:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.005285292326575685), np.float64(0.005285292326575685))",0.0,trend_trend_std,1.0.0,"{'price': 260.46, 'fast_sma': 260.369, 'slow_sma': 261.1586, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0030234501180506804, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 0.0}",downtrend,1.0,0.0,"{'fast_period': 20, 'slow_period': 50, 'trend_strength': 0.0030234501180506804}"
COIN,2025-11-18T14:05:00+00:00,entry,short,0.5271616127263096,-0.01637723321659799,"(np.float64(-0.02168588850245818), np.float64(-0.011068577930737802))",-0.05508932866391967,trend_trend_std,1.0.0,"{'price': 260.2, 'fast_sma': 260.38399999999996, 'slow_sma': 261.1032, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0027544664331959835, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 20, 'slow_period': 50, 'trend_strength': 0.0027544664331959835}"
COIN,2025-11-18T14:10:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.005309849409195504), np.float64(0.005309849409195504))",0.0,trend_trend_std,1.0.0,"{'price': 260.15, 'fast_sma': 260.39549999999997, 'slow_sma': 261.0432, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0024811985142690674, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 20, 'slow_period': 50, 'trend_strength': 0.0024811985142690674}"
COIN,2025-11-18T14:15:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.005469901963733102), np.float64(0.005469901963733102))",0.0,trend_trend_std,1.0.0,"{'price': 260.93, 'fast_sma': 260.4475, 'slow_sma': 261.00079999999997, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0021199168738179302, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 20, 'slow_period': 50, 'trend_strength': 0.0021199168738179302}"
COIN,2025-11-18T14:20:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.0053994141514500035), np.float64(0.0053994141514500035))",0.0,trend_trend_std,1.0.0,"{'price': 260.4, 'fast_sma': 260.435, 'slow_sma': 260.95079999999996, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0019766178145457156, 'price_above_fast': 0.0, 'price_below_fast': 1.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 20, 'slow_period': 50, 'trend_strength': 0.0019766178145457156}"
COIN,2025-11-18T14:25:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.005458955734870646), np.float64(0.005458955734870646))",0.0,trend_trend_std,1.0.0,"{'price': 261.51, 'fast_sma': 260.5245, 'slow_sma': 260.9174, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0015058405457052592, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 20, 'slow_period': 50, 'trend_strength': 0.0015058405457052592}"
COIN,2025-11-18T14:30:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.009200905884514648), np.float64(0.009200905884514648))",0.0,trend_trend_std,1.0.0,"{'price': 266.01, 'fast_sma': 260.8645, 'slow_sma': 260.9932, 'is_uptrend': 0.0, 'is_downtrend': 1.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0004931162957501602, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 1.0}",downtrend,1.0,0.0,"{'fast_period': 20, 'slow_period': 50, 'trend_strength': 0.0004931162957501602}"
COIN,2025-11-18T14:35:00+00:00,exit,neutral,0.5,0.0,"(np.float64(-0.010129998942589272), np.float64(0.010129998942589272))",0.0,trend_trend_std,1.0.0,"{'price': 269.045, 'fast_sma': 261.37675, 'slow_sma': 261.1227, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 1.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0009729142659753692, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 0.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 20, 'slow_period': 50, 'trend_strength': 0.0009729142659753692}"
COIN,2025-11-18T14:40:00+00:00,entry,long,0.5244831379323681,0.015862141910070786,"(np.float64(0.004083896623156677), np.float64(0.027640387196984896))",0.03448567640283148,trend_trend_std,1.0.0,"{'price': 265.64, 'fast_sma': 261.63125, 'slow_sma': 261.1809, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.001724283820141574, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 20, 'slow_period': 50, 'trend_strength': 0.001724283820141574}"
COIN,2025-11-18T14:45:00+00:00,hold,neutral,0.5,0.0,"(np.float64(-0.012062953233184917), np.float64(0.012062953233184917))",0.0,trend_trend_std,1.0.0,"{'price': 267.5, 'fast_sma': 261.98125, 'slow_sma': 261.2803, 'is_uptrend': 1.0, 'is_downtrend': 0.0, 'bullish_crossover': 0.0, 'bearish_crossover': 0.0, 'trend_strength': 0.0026827510531792008, 'price_above_fast': 1.0, 'price_below_fast': 0.0, 'volume_ratio': 1.0, 'in_long': 1.0, 'in_short': 0.0}",uptrend,1.0,0.0,"{'fast_period': 20, 'slow_period': 50, 'trend_strength': 0.0026827510531792008}"
