symbol,market_cap,sector,bull_performer,target_volatility,start_date,end_date,num_bars,num_features,avg_price,avg_volume,realized_volatility,file_path
AMZN,LARGE,TECH,True,1.3,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,64.48290331956049,100224176.80525164,0.37874598072645893,historical\large_cap\AMZN_historical.csv
MSFT,LARGE,TECH,True,1.3,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,122.29659151020736,42137604.038193755,0.2748781248191356,historical\large_cap\MSFT_historical.csv
META,LARGE,TECH,True,1.3,2012-05-18 00:00:00-04:00,2025-12-10 00:00:00-05:00,3411,12,218.09319307488872,28387507.827616535,0.3978276875764312,historical\large_cap\META_historical.csv
GOOGL,LARGE,TECH,True,1.3,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,57.71684043042722,92229389.12512434,0.2999488460713457,historical\large_cap\GOOGL_historical.csv
AVGO,LARGE,TECH,True,1.3,2009-08-06 00:00:00-04:00,2025-12-10 00:00:00-05:00,4113,12,42.98123091962139,25532661.828349136,0.37779176745283655,historical\large_cap\AVGO_historical.csv
TSLA,LARGE,TECH,True,1.3,2010-06-29 00:00:00-04:00,2025-12-10 00:00:00-05:00,3888,12,97.83141493049177,96808634.33641975,0.5783726103919489,historical\large_cap\TSLA_historical.csv
AAPL,LARGE,TECH,True,1.3,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,62.020834690537534,353582881.40043765,0.31801022537356444,historical\large_cap\AAPL_historical.csv
NVDA,LARGE,TECH,True,1.3,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,17.722247222489216,524474096.1806246,0.491929470827596,historical\large_cap\NVDA_historical.csv
ORCL,LARGE,TECH,True,1.3,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,51.470087968641515,21149876.26815198,0.30967616698112027,historical\large_cap\ORCL_historical.csv
CRM,LARGE,TECH,True,1.3,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,105.58514212158154,7141646.628207679,0.40389626290386405,historical\large_cap\CRM_historical.csv
ADBE,LARGE,TECH,True,1.3,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,195.5183568821291,4391430.674358464,0.34147585612989406,historical\large_cap\ADBE_historical.csv
ACN,LARGE,TECH,True,1.3,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,131.23871880002588,2982740.342152377,0.26115456885879695,historical\large_cap\ACN_historical.csv
CSCO,LARGE,TECH,True,1.3,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,28.120405406014736,35173006.24627014,0.28080648907502465,historical\large_cap\CSCO_historical.csv
AMD,LARGE,TECH,True,1.3,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,40.28633378655673,41879501.37258802,0.5811374038691512,historical\large_cap\AMD_historical.csv
INTC,LARGE,TECH,True,1.3,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,26.543269246668423,47138514.44201313,0.3541543084840983,historical\large_cap\INTC_historical.csv
JPM,LARGE,FINANCE,True,1.5,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,78.46667813277752,22070971.434255023,0.3668844446505202,historical\large_cap\JPM_historical.csv
BAC,LARGE,FINANCE,True,1.5,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,22.437884919990097,96714464.75034812,0.4671057111526691,historical\large_cap\BAC_historical.csv
GS,LARGE,FINANCE,True,1.5,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,206.83724594040328,5397843.246469067,0.35374066301688484,historical\large_cap\GS_historical.csv
SPGI,LARGE,FINANCE,True,1.5,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,171.48238001786052,1754041.6351700816,0.30416472774356473,historical\large_cap\SPGI_historical.csv
WFC,LARGE,FINANCE,True,1.5,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,34.33011847659753,27965588.16391486,0.40806621240405805,historical\large_cap\WFC_historical.csv
BX,LARGE,FINANCE,True,1.5,2007-06-22 00:00:00-04:00,2025-12-10 00:00:00-05:00,4648,12,42.425814892436264,4247363.341006884,0.44574351899144327,historical\large_cap\BX_historical.csv
C,LARGE,FINANCE,True,1.5,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,77.12672044810182,23420504.227173265,0.49427273921808207,historical\large_cap\C_historical.csv
MS,LARGE,FINANCE,True,1.5,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,43.97302160344637,13681092.619852794,0.4794929908607704,historical\large_cap\MS_historical.csv
BLK,LARGE,FINANCE,True,1.5,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,362.75707853084674,652088.820370002,0.335024995186493,historical\large_cap\BLK_historical.csv
AXP,LARGE,FINANCE,True,1.5,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,94.05308372475932,6160455.380942908,0.35826467579924276,historical\large_cap\AXP_historical.csv
ABBV,LARGE,HEALTHCARE,False,0.9,2013-01-02 00:00:00-05:00,2025-12-10 00:00:00-05:00,3256,12,86.33716133478525,7311152.549140049,0.2634591358333773,historical\large_cap\ABBV_historical.csv
UNH,LARGE,HEALTHCARE,False,0.9,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,182.8921100044668,6041843.584642928,0.3221463002806281,historical\large_cap\UNH_historical.csv
LLY,LARGE,HEALTHCARE,False,0.9,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,167.88880196930472,5037574.537497513,0.26464505106651465,historical\large_cap\LLY_historical.csv
JNJ,LARGE,HEALTHCARE,False,0.9,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,88.61747823767949,9380504.436045354,0.17356318219692865,historical\large_cap\JNJ_historical.csv
CME,LARGE,FINANCE,True,1.5,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,99.77603198966426,2507176.5466481005,0.3239459378448523,historical\large_cap\CME_historical.csv
TMO,LARGE,HEALTHCARE,False,0.9,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,223.43927152621146,2161888.601551621,0.2672670830223133,historical\large_cap\TMO_historical.csv
MRK,LARGE,HEALTHCARE,False,0.9,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,48.14687588002873,12810830.220210861,0.24517615313458493,historical\large_cap\MRK_historical.csv
ABT,LARGE,HEALTHCARE,False,0.9,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,53.09344667484397,9480942.212850606,0.21916469512310197,historical\large_cap\ABT_historical.csv
PFE,LARGE,HEALTHCARE,False,0.9,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,20.187387363607613,36850529.812015116,0.23466159116168803,historical\large_cap\PFE_historical.csv
DHR,LARGE,HEALTHCARE,False,0.9,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,91.59483941667996,4346598.343345932,0.282029123216126,historical\large_cap\DHR_historical.csv
TSLA,LARGE,TECH,True,1.3,2010-06-29 00:00:00-04:00,2025-12-10 00:00:00-05:00,3888,12,97.83141493049177,96808634.33641975,0.5783726103919489,historical\large_cap\TSLA_historical.csv
BMY,LARGE,HEALTHCARE,False,0.9,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,35.154159900656936,11294117.147404019,0.2483650968031578,historical\large_cap\BMY_historical.csv
GILD,LARGE,HEALTHCARE,False,0.9,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,46.292077155575164,12153608.87209071,0.2866745543732247,historical\large_cap\GILD_historical.csv
AMZN,LARGE,TECH,True,1.3,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,64.48290331956049,100224176.80525164,0.37874598072645893,historical\large_cap\AMZN_historical.csv
AMGN,LARGE,HEALTHCARE,False,0.9,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,127.33140368183683,4985402.128506067,0.25956258737320675,historical\large_cap\AMGN_historical.csv
HD,LARGE,CONSUMER_DISCRETIONARY,True,1.1,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,136.75427489454285,8337237.875472449,0.26200330503027974,historical\large_cap\HD_historical.csv
BKNG,LARGE,CONSUMER_DISCRETIONARY,True,1.1,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,1467.409160835975,721194.9273920828,0.37761456274790584,historical\large_cap\BKNG_historical.csv
NKE,LARGE,CONSUMER_DISCRETIONARY,True,1.1,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,52.969506845290226,10344339.466878854,0.2979636637876554,historical\large_cap\NKE_historical.csv
MCD,LARGE,CONSUMER_DISCRETIONARY,True,1.1,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,124.00559072264957,5319400.616669982,0.19810478458606684,historical\large_cap\MCD_historical.csv
TJX,LARGE,CONSUMER_DISCRETIONARY,True,1.1,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,39.190458483029154,10333875.512233937,0.26680805030094973,historical\large_cap\TJX_historical.csv
LOW,LARGE,CONSUMER_DISCRETIONARY,True,1.1,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,86.78308512909834,7658299.343544858,0.3013312226401398,historical\large_cap\LOW_historical.csv
CMG,LARGE,CONSUMER_DISCRETIONARY,True,1.1,2006-01-26 00:00:00-05:00,2025-12-10 00:00:00-05:00,5001,12,15.919743788585594,30807667.846430715,0.3847712418812587,historical\large_cap\CMG_historical.csv
SBUX,LARGE,CONSUMER_DISCRETIONARY,True,1.1,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,45.67664907418261,12917249.95026855,0.31346406816466804,historical\large_cap\SBUX_historical.csv
WMT,LARGE,CONSUMER_STAPLES,False,0.8,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,29.671218036775304,31320239.785160135,0.20567469969246696,historical\large_cap\WMT_historical.csv
PM,LARGE,CONSUMER_STAPLES,False,0.8,2008-03-17 00:00:00-04:00,2025-12-10 00:00:00-05:00,4464,12,61.65740225392003,5827270.900537634,0.23358181220689708,historical\large_cap\PM_historical.csv
COST,LARGE,CONSUMER_STAPLES,False,0.8,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,238.59232891561592,2866235.4485776806,0.22406434193803706,historical\large_cap\COST_historical.csv
PEP,LARGE,CONSUMER_STAPLES,False,0.8,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,83.87169876842297,5628062.403023672,0.1846691881224376,historical\large_cap\PEP_historical.csv
KO,LARGE,CONSUMER_STAPLES,False,0.8,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,33.7763326203631,16037467.39606127,0.18352531557863072,historical\large_cap\KO_historical.csv
MO,LARGE,CONSUMER_STAPLES,False,0.8,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,24.64163974229256,10177799.224189376,0.21111103205929277,historical\large_cap\MO_historical.csv
PG,LARGE,CONSUMER_STAPLES,False,0.8,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,78.40404390714883,9424019.076984284,0.18236921560896813,historical\large_cap\PG_historical.csv
CL,LARGE,CONSUMER_STAPLES,False,0.8,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,50.81087400672781,4474887.507459718,0.19125553985257784,historical\large_cap\CL_historical.csv
MDLZ,LARGE,CONSUMER_STAPLES,False,0.8,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,34.42678506705878,8798469.325641535,0.21061259490818285,historical\large_cap\MDLZ_historical.csv
KMB,LARGE,CONSUMER_STAPLES,False,0.8,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,76.99633247287463,2175791.184802069,0.19211282895415424,historical\large_cap\KMB_historical.csv
GIS,LARGE,CONSUMER_STAPLES,False,0.8,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,37.583450189897405,4256011.378555799,0.19503573360335896,historical\large_cap\GIS_historical.csv
XOM,LARGE,ENERGY,True,1.4,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,57.89094339518322,19321334.931370597,0.2661237579670132,historical\large_cap\XOM_historical.csv
K,LARGE,CONSUMER_STAPLES,False,0.8,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,43.38210618379743,2390412.0974736423,0.19538014234136877,historical\large_cap\K_historical.csv
COP,LARGE,ENERGY,True,1.4,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,48.91521290782339,9904912.93515019,0.34891039695661125,historical\large_cap\COP_historical.csv
CVX,LARGE,ENERGY,True,1.4,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,77.84264886566581,8956701.432265764,0.2849020761828177,historical\large_cap\CVX_historical.csv
EOG,LARGE,ENERGY,True,1.4,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,61.916795586790315,4657417.187189179,0.39994977054907876,historical\large_cap\EOG_historical.csv
SLB,LARGE,ENERGY,True,1.4,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,47.01265670870463,10283954.087925203,0.3895893667548576,historical\large_cap\SLB_historical.csv
PSX,LARGE,ENERGY,True,1.4,2012-04-12 00:00:00-04:00,2025-12-10 00:00:00-05:00,3437,12,71.82255585442665,3248471.108524876,0.335386448281428,historical\large_cap\PSX_historical.csv
MPC,LARGE,ENERGY,True,1.4,2011-06-24 00:00:00-04:00,2025-12-10 00:00:00-05:00,3638,12,62.6434463023353,5642462.177020341,0.39298637615952225,historical\large_cap\MPC_historical.csv
OXY,LARGE,ENERGY,True,1.4,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,48.299190832744756,9346735.353491148,0.43144606476208075,historical\large_cap\OXY_historical.csv
BA,LARGE,INDUSTRIAL,True,1.2,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,144.39880312587053,7172680.803660234,0.3570086391685952,historical\large_cap\BA_historical.csv
UNP,LARGE,INDUSTRIAL,True,1.2,2005-12-16 00:00:00-05:00,2025-12-10 00:00:00-05:00,5027,12,101.75211637044299,5260372.965983688,0.2804788763771352,historical\large_cap\UNP_historical.csv
