symbol,status,bars,market_cap,error
AMZN,SUCCESS,5027.0,LARGE,
MSFT,SUCCESS,5027.0,LARGE,
META,SUCCESS,3411.0,LARGE,
GOOGL,SUCCESS,5027.0,LARGE,
AVGO,SUCCESS,4113.0,LARGE,
TSLA,SUCCESS,3888.0,LARGE,
AAPL,SUCCESS,5027.0,LARGE,
NVDA,SUCCESS,5027.0,LARGE,
ORCL,SUCCESS,5027.0,LARGE,
CRM,SUCCESS,5027.0,LARGE,
ADBE,SUCCESS,5027.0,LARGE,
ACN,SUCCESS,5027.0,LARGE,
CSCO,SUCCESS,5027.0,LARGE,
AMD,SUCCESS,5027.0,LARGE,
INTC,SUCCESS,5027.0,LARGE,
JPM,SUCCESS,5027.0,LARGE,
BAC,SUCCESS,5027.0,LARGE,
GS,SUCCESS,5027.0,LARGE,
SPGI,SUCCESS,5027.0,LARGE,
WFC,SUCCESS,5027.0,LARGE,
BX,SUCCESS,4648.0,LARGE,
C,SUCCESS,5027.0,LARGE,
MS,SUCCESS,5027.0,LARGE,
BLK,SUCCESS,5027.0,LARGE,
AXP,SUCCESS,5027.0,LARGE,
ABBV,SUCCESS,3256.0,LARGE,
UNH,SUCCESS,5027.0,LARGE,
LLY,SUCCESS,5027.0,LARGE,
JNJ,SUCCESS,5027.0,LARGE,
CME,SUCCESS,5027.0,LARGE,
TMO,SUCCESS,5027.0,LARGE,
MRK,SUCCESS,5027.0,LARGE,
ABT,SUCCESS,5027.0,LARGE,
PFE,SUCCESS,5027.0,LARGE,
DHR,SUCCESS,5027.0,LARGE,
TSLA,SUCCESS,3888.0,LARGE,
BMY,SUCCESS,5027.0,LARGE,
GILD,SUCCESS,5027.0,LARGE,
AMZN,SUCCESS,5027.0,LARGE,
AMGN,SUCCESS,5027.0,LARGE,
HD,SUCCESS,5027.0,LARGE,
BKNG,SUCCESS,5027.0,LARGE,
NKE,SUCCESS,5027.0,LARGE,
MCD,SUCCESS,5027.0,LARGE,
TJX,SUCCESS,5027.0,LARGE,
LOW,SUCCESS,5027.0,LARGE,
CMG,SUCCESS,5001.0,LARGE,
SBUX,SUCCESS,5027.0,LARGE,
WMT,SUCCESS,5027.0,LARGE,
PM,SUCCESS,4464.0,LARGE,
COST,SUCCESS,5027.0,LARGE,
PEP,SUCCESS,5027.0,LARGE,
KO,SUCCESS,5027.0,LARGE,
MO,SUCCESS,5027.0,LARGE,
PG,SUCCESS,5027.0,LARGE,
CL,SUCCESS,5027.0,LARGE,
MDLZ,SUCCESS,5027.0,LARGE,
KMB,SUCCESS,5027.0,LARGE,
GIS,SUCCESS,5027.0,LARGE,
XOM,SUCCESS,5027.0,LARGE,
K,SUCCESS,5027.0,LARGE,
COP,SUCCESS,5027.0,LARGE,
CVX,SUCCESS,5027.0,LARGE,
EOG,SUCCESS,5027.0,LARGE,
SLB,SUCCESS,5027.0,LARGE,
PSX,SUCCESS,3437.0,LARGE,
MPC,SUCCESS,3638.0,LARGE,
OXY,SUCCESS,5027.0,LARGE,
BA,SUCCESS,5027.0,LARGE,
UNP,SUCCESS,5027.0,LARGE,
VLO,SUCCESS,5027.0,LARGE,
CAT,SUCCESS,5027.0,LARGE,
HON,SUCCESS,5027.0,LARGE,
UPS,SUCCESS,5027.0,LARGE,
RTX,SUCCESS,5027.0,LARGE,
GE,SUCCESS,5027.0,LARGE,
LMT,SUCCESS,5027.0,LARGE,
DE,SUCCESS,5027.0,LARGE,
FDX,SUCCESS,5027.0,LARGE,
MMM,SUCCESS,5027.0,LARGE,
APD,SUCCESS,5027.0,LARGE,
LIN,SUCCESS,5027.0,LARGE,
ECL,SUCCESS,5027.0,LARGE,
SHW,SUCCESS,5027.0,LARGE,
DD,SUCCESS,5027.0,LARGE,
NEM,SUCCESS,5027.0,LARGE,
FCX,SUCCESS,5027.0,LARGE,
VMC,SUCCESS,5027.0,LARGE,
NUE,SUCCESS,5027.0,LARGE,
AMT,SUCCESS,5027.0,LARGE,
MLM,SUCCESS,5027.0,LARGE,
HES,FAILED,,LARGE,HTTP Error 404:
CCI,SUCCESS,5027.0,LARGE,
PLD,SUCCESS,5027.0,LARGE,
DLR,SUCCESS,5027.0,LARGE,
EQIX,SUCCESS,5027.0,LARGE,
PSA,SUCCESS,5027.0,LARGE,
WELL,SUCCESS,5027.0,LARGE,
NEE,SUCCESS,5027.0,LARGE,
O,SUCCESS,5027.0,LARGE,
DUK,SUCCESS,5027.0,LARGE,
SO,SUCCESS,5027.0,LARGE,
D,SUCCESS,5027.0,LARGE,
GOOGL,SUCCESS,5027.0,LARGE,
EXC,SUCCESS,5027.0,LARGE,
SRE,SUCCESS,5027.0,LARGE,
META,SUCCESS,3411.0,LARGE,
AEP,SUCCESS,5027.0,LARGE,
XEL,SUCCESS,5027.0,LARGE,
NFLX,SUCCESS,5027.0,LARGE,
DIS,SUCCESS,5027.0,LARGE,
PLTR,SUCCESS,1306.0,MID,
CHTR,SUCCESS,4009.0,LARGE,
CMCSA,SUCCESS,5027.0,LARGE,
CRWD,SUCCESS,1635.0,MID,
TMUS,SUCCESS,4693.0,LARGE,
SNOW,SUCCESS,1316.0,MID,
VZ,SUCCESS,5027.0,LARGE,
DDOG,SUCCESS,1566.0,MID,
NET,SUCCESS,1570.0,MID,
T,SUCCESS,5027.0,LARGE,
FTNT,SUCCESS,4040.0,MID,
WDAY,SUCCESS,3309.0,MID,
ZS,SUCCESS,1946.0,MID,
PANW,SUCCESS,3368.0,MID,
MDB,SUCCESS,2047.0,MID,
SCHW,SUCCESS,5027.0,MID,
USB,SUCCESS,5027.0,MID,
TFC,SUCCESS,5027.0,MID,
COF,SUCCESS,5027.0,MID,
AIG,SUCCESS,5027.0,MID,
PNC,SUCCESS,5027.0,MID,
MET,SUCCESS,5027.0,MID,
REGN,SUCCESS,5027.0,MID,
AFL,SUCCESS,5027.0,MID,
ZTS,SUCCESS,3235.0,MID,
ALGN,SUCCESS,5027.0,MID,
VRTX,SUCCESS,5027.0,MID,
DG,SUCCESS,4043.0,MID,
DXCM,SUCCESS,5027.0,MID,
IDXX,SUCCESS,5027.0,MID,
ISRG,SUCCESS,5027.0,MID,
BIIB,SUCCESS,5027.0,MID,
HLT,SUCCESS,3017.0,MID,
AZO,SUCCESS,5027.0,MID,
ULTA,SUCCESS,4561.0,MID,
ORLY,SUCCESS,5027.0,MID,
ROST,SUCCESS,5027.0,MID,
MAR,SUCCESS,5027.0,MID,
YUM,SUCCESS,5027.0,MID,
POOL,SUCCESS,5027.0,MID,
SJM,SUCCESS,5027.0,MID,
STZ,SUCCESS,5027.0,MID,
HSY,SUCCESS,5027.0,MID,
TSN,SUCCESS,5027.0,MID,
FANG,SUCCESS,3309.0,MID,
CAG,SUCCESS,5027.0,MID,
DVN,SUCCESS,5027.0,MID,
