date,open,high,low,close,volume,symbol
2023-12-05,455.26001,457.59,454.87,456.60001,69793500,SPY
2023-12-06,458.81,458.84,454.31,454.76001,69124700,SPY
2023-12-07,456.91,458.89999,456.29001,458.23001,66995400,SPY
2023-12-08,457.45999,460.75,457.20999,460.20001,83080900,SPY
2023-12-11,459.69,462.17001,459.47,461.98999,65002200,SPY
2023-12-12,461.63,464.20001,460.60001,464.10001,68327600,SPY
2023-12-13,464.48999,470.76001,464.12,470.5,93278000,SPY
2023-12-14,472.5,473.73001,469.25,472.01001,119026000,SPY
2023-12-15,469.48999,470.70001,467.42999,469.32999,141319300,SPY
2023-12-18,470.98001,472.98001,469.89001,471.97,70375300,SPY
2023-12-19,472.53,474.92001,472.45001,474.84,55761800,SPY
2023-12-20,473.95999,475.89999,467.82001,468.26001,102921000,SPY
2023-12-21,471.32999,472.98001,468.84,472.70001,86667500,SPY
2023-12-22,473.85999,475.38,471.70001,473.64999,67126600,SPY
2023-12-26,474.070007,476.57999,473.98999,475.64999,55387000,SPY
2023-12-27,475.44,476.66,474.89001,476.51001,68000300,SPY
2023-12-28,476.88,477.54999,476.26001,476.69,77158100,SPY
2023-12-29,476.48999,477.029999,473.29999,475.31,122234100,SPY
2024-01-02,472.16,473.67001,470.48999,472.64999,123623700,SPY
2024-01-03,470.42999,471.19,468.17001,468.79001,103585900,SPY
2024-01-04,468.29999,470.95999,467.049988,467.28,84232200,SPY
2024-01-05,467.48999,470.44,466.42999,467.92001,86060800,SPY
2024-01-08,468.42999,474.75,468.29999,474.60001,74879100,SPY
2024-01-09,471.87,474.92999,471.35001,473.88,65931400,SPY
2024-01-10,474.16,477.45001,473.87,476.56,67310600,SPY
2024-01-11,477.59,478.12,472.26001,476.35001,77940700,SPY
2024-01-12,477.84,478.60001,475.23001,476.67999,57944000,SPY
2024-01-16,475.26001,476.60999,473.059998,474.92999,85014900,SPY
2024-01-17,471.82001,472.79001,469.87,472.29001,68843900,SPY
2024-01-18,474.01001,477.059998,472.42001,476.48999,91856200,SPY
2024-01-19,477.64999,482.72,476.54001,482.42999,110733300,SPY
2024-01-22,484.01001,485.22,482.78,483.45001,75844900,SPY
2024-01-23,484.01001,485.10999,482.89001,484.85999,49945300,SPY
2024-01-24,487.81,488.76999,484.88,485.39001,81765000,SPY
2024-01-25,487.57999,488.31,485.39001,488.029999,72525000,SPY
2024-01-26,487.59,489.12,486.54001,487.41,76641600,SPY
2024-01-29,487.73001,491.42001,487.17001,491.26999,61322800,SPY
2024-01-30,490.56,491.62,490.10999,490.89001,58618400,SPY
2024-01-31,488.62,489.079987,482.85999,482.88,126011100,SPY
2024-02-01,484.63,489.23001,483.79999,489.20001,91891600,SPY
2024-02-02,489.64999,496.049988,489.29999,494.35001,99147700,SPY
2024-02-05,493.70001,494.38,490.23001,492.54999,75757100,SPY
2024-02-06,493.51999,494.32001,492.049988,493.98001,55918600,SPY
2024-02-07,496.29001,498.53,495.35999,498.10001,70556500,SPY
2024-02-08,498.10001,498.70999,497.26001,498.32001,52343600,SPY
2024-02-09,498.84,501.64999,498.48999,501.20001,63979400,SPY
2024-02-12,501.17001,503.5,500.23999,500.98001,56502300,SPY
2024-02-13,494.53,497.089996,490.72,494.079987,113099200,SPY
2024-02-14,496.79001,499.070007,494.39999,498.57001,68387800,SPY
2024-02-15,499.29001,502.20001,498.79999,502.01001,61683000,SPY
2024-02-16,501.70001,502.87,498.75,499.51001,75461200,SPY
2024-02-20,497.72,498.41,494.45001,496.76001,71736700,SPY
2024-02-21,495.42001,497.37,493.56,497.20999,59603800,SPY
2024-02-22,504.01001,508.48999,503.019989,507.5,76402500,SPY
