,open,high,low,close,volume,symbol
2024-01-01,98.79228903935898,100.53265693155258,97.87024562047837,99.20145127601548,964158,XYZ
2024-01-02,98.36769763352414,99.85278348152544,97.3675031486272,98.61014331507631,803441,XYZ
2024-01-03,99.3404886023114,100.52154222846566,98.16813965594481,99.34484094220524,1461858,XYZ
2024-01-04,99.86372181128876,100.90308776175668,99.14715065199613,100.0251192068764,743176,XYZ
2024-01-05,102.04899327465778,102.35523770472449,100.9634505337563,101.6593441192404,1468461,XYZ
2024-01-08,103.88929206807539,104.79216270692484,102.54156438826226,103.66686354759355,1102855,XYZ
2024-01-09,104.1576952844152,104.87079423664431,103.21558905723617,104.04319164694024,961435,XYZ
2024-01-10,104.69198166218327,105.64012928241168,103.57166233865807,104.60589581053488,820144,XYZ
2024-01-11,104.21732151544524,105.12300045893039,103.22241685648571,104.17270865770804,714556,XYZ
2024-01-12,103.96150640593933,104.64850106810607,102.91028222789073,103.77939164799841,930619,XYZ
2024-01-15,100.8823199799616,102.5664299544361,100.03141126961694,101.29892061202652,1247946,XYZ
2024-01-16,100.29661164722283,101.07387349510438,98.79472868922606,99.93430109216523,600871,XYZ
2024-01-17,98.8034417177512,99.44427959417136,97.77535591704093,98.60981775560614,800887,XYZ
2024-01-18,98.65151003431522,99.5149550615107,98.26839145148205,98.89167325649638,810375,XYZ
2024-01-19,98.82141838818013,99.9454264972871,97.06776059988297,98.50659354858504,1119016,XYZ
2024-01-22,101.17731171424009,102.06487927090267,99.59995736639229,100.83241831864747,778285,XYZ
2024-01-23,102.94773572668123,104.0418056556614,102.31262080091376,103.17721322828758,778757,XYZ
2024-01-24,104.1147235558085,105.85408932861479,102.79198400047976,104.32303666454727,948420,XYZ
2024-01-25,105.71331238949573,106.20033001517074,104.80347518136584,105.50190259826829,2353813,XYZ
2024-01-26,107.46688864977426,108.10576715171038,105.84946377858016,106.97761546514526,1197280,XYZ
2024-01-29,106.56269982101394,107.73524245465084,105.94747783682693,106.84136014573889,882149,XYZ
2024-01-30,107.09357384266389,108.25254356451914,105.20272158192286,106.727632573221,1172926,XYZ
2024-01-31,105.57351114728053,106.91293580487307,104.06835440436144,105.49064510461726,1010315,XYZ
2024-02-01,105.39692843717567,105.79166461476736,104.21950787675358,105.00558624576047,1372102,XYZ
2024-02-02,106.97125590795216,107.94896233484904,104.95457864043554,106.45177048764229,1055146,XYZ
2024-02-05,106.29598510122489,107.93622840968415,105.31600632027074,106.62611736497745,753494,XYZ
2024-02-06,106.530306334342,107.65665220912109,104.65861702828082,106.15763461870095,1219835,XYZ
2024-02-07,106.29916427602059,107.26432997140311,104.28522282060075,105.77477639600193,1899067,XYZ
2024-02-08,105.51761071632713,107.27265654607453,104.5503262919168,105.91149141899567,2345954,XYZ
2024-02-09,107.33242515971158,108.40851571435327,106.33632959050301,107.37242265242814,1075324,XYZ
2024-02-12,105.44785652354433,107.06629346360475,104.33035257533649,105.69832301947062,784142,XYZ
2024-02-13,105.71074030628492,106.33056745044796,104.37118479490854,105.35087612267826,453496,XYZ
2024-02-14,106.19386106503404,107.93698854738604,104.96282126436121,106.44990490587362,877958,XYZ
2024-02-15,104.21028082387824,105.48571873773089,103.76706690888673,104.6263928233088,943852,XYZ
2024-02-16,106.31680599944089,107.21627628048476,105.38970264645219,106.30298946346848,1009437,XYZ
2024-02-19,105.32956075409803,106.2169987553217,104.27409200586499,105.24554538059334,720843,XYZ
2024-02-20,106.48138388772956,106.99503973918415,105.19596828102743,106.09550401010578,1259524,XYZ
2024-02-21,106.20945596400924,107.63671260081955,104.77427288667342,106.20549274374649,750693,XYZ
2024-02-22,106.70005551405492,107.96846869030776,105.34928473559859,106.65887671295317,987640,XYZ
2024-02-23,105.22673767292878,106.30934031643802,103.9271041696541,105.11822224304606,960874,XYZ
2024-02-26,105.09463706813587,106.05959583323265,104.4807153375938,105.27015558541322,885266,XYZ
2024-02-27,105.11763595290677,105.54378596198902,104.09176959455372,104.81777777827136,1100020,XYZ
2024-02-28,106.29193323494428,107.90822892085741,104.76775531289725,106.33799211687733,584675,XYZ
2024-02-29,106.10207129631743,106.99788290172017,104.30166832489999,105.64977561331008,1242349,XYZ
2024-03-01,105.39792947410476,106.24061720486837,105.029154599328,105.63488590209818,1243009,XYZ
2024-03-04,105.42562609942642,106.57338007546254,103.95925812778177,105.26631910162214,805052,XYZ
2024-03-05,105.62362234361525,107.2398155784166,104.27831040423706,105.75906299132683,1126584,XYZ
2024-03-06,107.42653002149098,108.41817473618126,106.17204772989508,107.29511123303817,1157614,XYZ
2024-03-07,107.84190389900246,108.34473694530425,106.28721729072117,107.31597711801271,763730,XYZ
2024-03-08,107.8983988224189,108.54511366626762,107.23715951107233,107.89113658866998,859119,XYZ
2024-03-11,107.02723353421958,107.80409243993213,105.32469115268917,106.56439179631066,615236,XYZ
2024-03-12,106.46976805126884,107.95177867400777,105.34876866673812,106.65027367037294,1357680,XYZ
2024-03-13,105.55285076988463,106.6668321998349,103.55026244317015,105.10854732150253,1063483,XYZ
2024-03-14,104.24625618393152,105.31403390757603,102.65287591413495,103.9834549108555,777359,XYZ
2024-03-15,105.30666658183775,106.73586245196765,104.36582836906182,105.55084541051474,1322685,XYZ
2024-03-18,105.0794562010348,105.97903199864778,104.92193380249154,105.45048290056967,908040,XYZ
2024-03-19,105.16575394304841,106.13894475203254,103.15630010249616,104.64762242726435,881899,XYZ
2024-03-20,105.07277218711334,106.11637579280351,103.21353742224296,104.66495660752324,852363,XYZ
2024-03-21,102.71070378408605,103.74778830672777,102.10152058675662,102.9246544467422,1349420,XYZ
2024-03-22,104.81946928586956,106.44246140360093,103.71519958330211,105.07883049345152,937459,XYZ
2024-03-25,104.46120762448703,105.96837993465594,102.95247419728314,104.46042706596954,1344780,XYZ
2024-03-26,104.84659218365753,105.95592760070886,103.60320556208477,104.77956658139682,825214,XYZ
2024-03-27,103.92411178122723,104.99758872388257,103.88826380453425,104.44292626420841,878669,XYZ
2024-03-28,103.84887107286124,104.9555067084525,103.76359189679037,104.35954930262143,1252397,XYZ
2024-03-29,102.85270928356293,103.77549037062501,102.41025885809977,103.09287461436239,1026851,XYZ
2024-04-01,102.64903950979551,103.99333179211654,101.38706549909429,102.6901986456054,1158196,XYZ
