date,open,high,low,close,volume
2025-12-01,450.25,455.80,448.90,453.50,85234000
2025-12-02,453.75,456.20,451.30,454.80,72890000
2025-12-03,454.90,458.40,453.60,457.20,68450000
2025-12-04,457.50,460.10,455.80,456.30,75120000
2025-12-05,456.20,457.90,453.50,455.60,71230000
2025-12-06,455.80,459.30,454.20,458.90,79560000
2025-12-09,459.10,462.50,458.30,461.80,82340000
2025-12-10,461.90,463.20,459.40,460.50,70890000
2025-12-11,460.70,462.80,458.90,461.20,73450000
2025-12-12,461.30,464.50,460.80,463.90,76230000
